,corr,beta,hedge_is,instr_ret_%yr,hedged_SR,d_SR,n
TLT (UST 20y+),-0.2408487494748434,-0.1814093651958394,LONG,2.699263565382251,0.5265110569461474,0.059223218751587814,4994
XAU (gold spot),-0.08576759530947153,-0.05494195422849613,LONG,8.870924793575842,0.5126970733203857,0.04540923512582612,4994
GLD (gold),-0.08102872620922819,-0.050985176401374135,LONG,8.500290614090238,0.5076556100375941,0.04036777184303447,4994
BCOM (commodities),0.19583909060936117,0.13573803090876901,SHORT,-1.7913349310508797,0.49865551854645546,0.031367680351895855,4994
FV1 (5y UST fut),-0.2832323227815626,-0.8153465164450858,LONG,0.09469670838916784,0.49442837309327686,0.02714053489871726,4994
TU1 (2y UST fut),-0.27133492185261904,-1.9841245231577969,LONG,0.046249429624486214,0.4940147207618873,0.026726882567327692,4994
TY1 (10y UST fut),-0.27049215657748366,-0.5107969611411277,LONG,0.06581957144576372,0.48850011987318254,0.021212281678622935,4994
RX1 (Bund fut),-0.14879722971726048,-0.2610922194785919,LONG,0.43737925334274713,0.48286007171423667,0.01557223351967707,4994
US1 (30y UST fut),-0.23875928485398415,-0.24772276864146844,LONG,0.03173909084875129,0.4819278414884104,0.01464000329385079,4994
HG1 (copper),0.17393088271100512,0.07250208184884123,SHORT,2.5720971687433036,0.4576112849339295,-0.009676553260630105,4994
CEW (EM currency),0.3297578232012075,0.4928534366184142,SHORT,1.1434893236483321,0.4271926324276042,-0.027248776221396265,4467
MXEF (EM equity),0.32395655575667887,0.1896789601062671,SHORT,3.1588673124462634,0.4373729024492912,-0.02991493574526838,4994
CEMB (EM corporate),0.13871121891936977,0.2128404379673536,SHORT,3.4833708293545,0.4844408712164006,-0.06260199229582836,3703
EMB (EM sovereign),0.1844712108755396,0.19345511910077612,SHORT,4.462706998268027,0.3497650311835459,-0.07155282748950914,4827
SPVXMTR (mid VIX),-0.3497163090819216,-0.1202120919769919,LONG,-10.966938585575635,0.37312894935687685,-0.09415888883768275,4994
HYG (US high yield),0.2904029224008913,0.30510681306858,SHORT,4.471940097456786,0.36101312713022243,-0.10627471106433717,4994
EMHY (EM high yield),0.27256167111885915,0.3053337465290407,SHORT,4.703057864793988,0.41474164444804346,-0.11455923513613103,3715
SPX,0.3766564943403462,0.2163060830911833,SHORT,8.12428729139794,0.3350458761437162,-0.13224196205084338,4994
SPVXSTR (long VIX),-0.3547219842590972,-0.05761004128275084,LONG,-56.37378194843436,0.18962295614258606,-0.27766488205197354,4994
