instrument,n_clean,corr,h_star,roll_beta_mean,roll_beta_min,roll_beta_max,sharpe_book,sharpe_hedged,sharpe_dyn_hedged,d_sharpe_variance,d_sharpe_own_ret,hedge_own_ret_ann,vol_reduction_pct,nw_t_diff,tail_mean_bp_worst5,inst_ann_ret,inst_sharpe,derisk_control_sharpe,beats_derisk_control
JY1 (JPY future),4794,-0.43162684013626396,-0.48530428582055596,-0.5056125469774335,-1.1721929438736625,-0.03572147071193447,0.43662220476771296,0.4319200011469248,0.36499949207378174,0.04740984804790305,-0.052112051668691206,-0.005335217588654734,9.794774493160096,-0.49259458440618287,31.51320724797841,-0.010993551354350622,-0.10890841197258179,0.5714521453861758,False
SF1 (CHF future),4779,-0.3224655505227664,-0.347841072170423,-0.44984261070779596,-1.286093174759696,0.21803992591095464,0.46233087311948895,0.576234442344225,0.5774483718415196,0.026090905151704202,0.0878126640730319,0.00943566459964884,5.341879971866703,1.1278463394486224,17.287013523669625,0.027126367052554057,0.25776960305805946,0.5714521453861758,True
"JPY_fwd (spot+fwd, cross-check)",4958,-0.45645615146722623,-0.5170826916132544,-0.5437302523256426,-1.356773248483394,-0.08698204602281605,0.43634639878374765,0.3111563075654279,0.26511928966491166,0.05407046583901387,-0.17926055705733362,-0.017890667712422727,11.02540914464798,-1.6165752313806525,34.30864483602578,-0.03459923915961169,-0.34942315202479934,0.5714521453861758,False
TU1 (UST 2y fut),4561,-0.2813815246099492,-1.9865114062300322,-2.7472193869214254,-9.582190494106047,0.8076387408731239,0.4188821711237409,0.4477481279324925,0.3606014437866278,0.0176371364778099,0.011228820330941747,0.001218908335506933,4.040402376407359,0.17536937240423842,15.64142793418397,0.0006135924171813122,0.038293668436064555,0.5714521453861758,False
FV1 (UST 5y fut),4747,-0.2875445161264853,-0.8167153209263637,-0.9100524406126951,-2.6893174877930726,0.3971639892507675,0.49287593390369316,0.5262564487201459,0.4912353992106125,0.02173335298323359,0.011647161833219122,0.0012649052984388188,4.223272594769378,0.17994214862922145,15.691848963500007,0.0015487713601406341,0.038794933701817885,0.5714521453861758,False
TY1 (UST 10y fut),4731,-0.27556906532546893,-0.5125230776881371,-0.541497247377807,-1.4448776744980585,0.3120392661182547,0.41503095318305594,0.4443269433559189,0.4026545881425845,0.016716719271134606,0.012579270901728334,0.0013721074144968505,3.8718724703509233,0.1987414272226132,14.421898096392168,0.002677162208355734,0.04388089628431786,0.5714521453861758,False
US1 (UST long-bond fut),4746,-0.24323988671976993,-0.24792143752306253,-0.2512007091134372,-0.7104382677469913,0.19523874233967703,0.4092300795614022,0.4376993227605754,0.43109819319446174,0.012671317766175971,0.015797925432997184,0.00173681214197151,3.003383692597128,0.28594281520411974,10.82234818167739,0.007005493995693477,0.06299728767111157,0.5714521453861758,False
SPX TR (SPXT),4813,0.37907974919438303,0.21653975366135073,0.2580235365009953,-0.01856719571471455,0.5852923084608184,0.44787114686006413,0.228615546302169,0.16763556537094315,0.036123415189871166,-0.25537901574776634,-0.026785062378024138,7.463599391875874,-3.0977156137559896,25.612411941868967,0.12369581993666455,0.6234006157903701,0.5714521453861758,False
"ES1 (S&P e-mini, cross-check)",4773,0.38049385314396195,0.2153438964986576,0.25124938819335585,-0.023494442388877674,0.6121131038228647,0.43440195874220944,0.2528947112204291,0.22944712440343212,0.03533174936796024,-0.21683899688974057,-0.022768283049830054,7.5216550905207065,-2.605058321898724,26.034854857757296,0.1057298740295246,0.5270232719530374,0.5714521453861758,False
DX1 (DXY fut),4843,0.19378394162608045,0.28513291383888445,0.3813971423251898,-0.4201253609112979,1.4456937887113928,0.4464421150846213,0.41872959296643897,0.33771893540002906,0.008626169090954261,-0.036338691209136575,-0.004031052989687005,1.8955768597633593,-0.8103712044329787,4.840493360355363,0.014137452374104971,0.18396706707630234,0.5714521453861758,False
"UX1 (generic, NOT investable)",4728,-0.3308844951472346,-0.03815103656792595,-0.04057888106596643,-0.09274198757344093,-0.004176674719852122,0.5231124599051074,0.7198611875243033,0.7049824864911738,0.031225137229520805,0.16552359038967512,0.017671814063197122,5.632873792238446,2.255739177951744,23.727470935470148,0.4632066557807249,0.47206761796782976,0.5714521453861758,True
UX1 via SPVXSTR (investable),4815,-0.35357345454195893,-0.054702890156590654,-0.06010340541592557,-0.14734965238304343,-0.0021577370078360923,0.4531719645638085,0.31472157684322466,0.311637653480293,0.03129317134811932,-0.16974355906870314,-0.017998317538861306,6.459323701222608,-2.067578941782914,27.219382680981393,-0.329019499469588,-0.44907011849114126,0.5714521453861758,False
