instrument,variant,sharpe,ann_ret,ann_vol,max_dd,worst_day,vol_red_%,tail_bp_worst5,hedge_carry_%yr,nw_t_vs_book
JY1 futures,unhedged book,0.4366,0.0496,0.1135,-0.3352,-0.0491,0.0,0.0,0.0,
JY1 futures,static h* = 0.49 (in-sample),0.4319,0.0442,0.1024,-0.3624,-0.0439,9.7948,31.5132,-0.5335,-0.4926
JY1 futures,"expanding h, lagged (real-time)",0.3613,0.0371,0.1027,-0.3617,-0.0438,9.5431,31.9474,-0.7905,-0.6676
JY1 futures,"rolling 252d h, lagged (real-time)",0.365,0.0373,0.1023,-0.3682,-0.0449,9.8797,34.0163,-0.7661,-0.6307
JY1 futures,stress-gated static (h* only when trigger ON),0.4146,0.0453,0.1093,-0.3312,-0.0439,3.6941,11.2687,-0.4233,-0.6909
JY1 futures,stress-gated rolling (roll h only when ON),0.3796,0.0413,0.1089,-0.3394,-0.0449,4.0689,14.9187,-0.3668,-0.4601
JY1 futures,de-risk control (book off in stress),0.5445,0.0511,0.0939,-0.2656,-0.0418,17.2528,61.4157,0.1582,0.1078
spot+fwd replica,unhedged book,0.4363,0.0489,0.1122,-0.3452,-0.0491,0.0,0.0,0.0,
spot+fwd replica,static h* = 0.52 (in-sample),0.3112,0.0311,0.0998,-0.4095,-0.0449,11.0254,34.3086,-1.7891,-1.6166
spot+fwd replica,"expanding h, lagged (real-time)",0.247,0.0247,0.1001,-0.4064,-0.0449,10.7357,33.6984,-2.0837,-1.7789
spot+fwd replica,"rolling 252d h, lagged (real-time)",0.2651,0.0264,0.0997,-0.3931,-0.0456,11.1169,37.9724,-1.9135,-1.5299
spot+fwd replica,stress-gated static (h* only when trigger ON),0.3905,0.042,0.1076,-0.3465,-0.0449,4.1068,12.5255,-0.6946,-1.1077
spot+fwd replica,stress-gated rolling (roll h only when ON),0.3564,0.0382,0.1071,-0.3607,-0.0456,4.4759,16.6634,-0.7382,-0.8997
spot+fwd replica,de-risk control (book off in stress),0.5409,0.0502,0.0928,-0.2638,-0.0418,17.2846,60.7827,0.124,0.0867
