,JY1 futures,JY1 futures,spot+fwd replica,spot+fwd replica
,sharpe,ann_vol,sharpe,ann_vol
-0.25,0.41361,0.12645,0.45922,0.12542
-0.225,0.41626,0.12499,0.45774,0.12393
-0.2,0.41886,0.12356,0.4561,0.12248
-0.17500000000000002,0.42139,0.12216,0.4543,0.12107
-0.15000000000000002,0.42385,0.12081,0.45232,0.11968
-0.12500000000000003,0.42624,0.11949,0.45017,0.11833
-0.10000000000000003,0.42853,0.1182,0.44782,0.11702
-0.07500000000000004,0.43073,0.11696,0.44527,0.11575
-0.050000000000000044,0.43282,0.11576,0.44252,0.11451
-0.02500000000000005,0.43478,0.11461,0.43955,0.11332
-5.551115123125783e-17,0.43662,0.1135,0.43635,0.11217
0.02499999999999994,0.43832,0.11243,0.43291,0.11106
0.04999999999999993,0.43986,0.11141,0.42923,0.11
0.07499999999999993,0.44124,0.11044,0.4253,0.10898
0.09999999999999992,0.44244,0.10952,0.42112,0.10801
0.12499999999999992,0.44346,0.10865,0.41667,0.10709
0.1499999999999999,0.44428,0.10783,0.41195,0.10622
0.1749999999999999,0.44488,0.10706,0.40695,0.10539
0.1999999999999999,0.44527,0.10635,0.40167,0.10462
0.2249999999999999,0.44544,0.1057,0.39612,0.10391
0.2499999999999999,0.44536,0.1051,0.39028,0.10325
0.2749999999999999,0.44504,0.10456,0.38416,0.10264
0.2999999999999999,0.44446,0.10407,0.37775,0.10209
0.32499999999999984,0.44363,0.10365,0.37107,0.1016
0.34999999999999987,0.44253,0.10329,0.36411,0.10116
0.3749999999999999,0.44116,0.10298,0.35688,0.10079
0.39999999999999986,0.43953,0.10274,0.3494,0.10047
0.4249999999999998,0.43762,0.10256,0.34166,0.10022
0.44999999999999984,0.43545,0.10244,0.33367,0.10002
0.47499999999999987,0.433,0.10239,0.32546,0.09989
0.49999999999999983,0.4303,0.10239,0.31703,0.09982
0.5249999999999998,0.42733,0.10246,0.3084,0.09981
0.5499999999999998,0.42411,0.10259,0.29958,0.09986
0.5749999999999998,0.42065,0.10278,0.2906,0.09997
0.5999999999999999,0.41695,0.10303,0.28146,0.10014
0.6249999999999998,0.41302,0.10335,0.27219,0.10037
0.6499999999999998,0.40888,0.10372,0.2628,0.10067
0.6749999999999998,0.40454,0.10416,0.25332,0.10102
0.6999999999999997,0.4,0.10465,0.24376,0.10143
0.7249999999999998,0.39529,0.1052,0.23415,0.1019
0.7499999999999998,0.39042,0.10581,0.22449,0.10243
0.7749999999999998,0.3854,0.10647,0.21482,0.10302
0.7999999999999998,0.38024,0.10719,0.20515,0.10366
0.8249999999999997,0.37497,0.10797,0.19549,0.10436
0.8499999999999998,0.36959,0.1088,0.18587,0.10511
0.8749999999999998,0.36412,0.10968,0.17629,0.10591
0.8999999999999997,0.35857,0.11061,0.16678,0.10676
0.9249999999999997,0.35296,0.11159,0.15734,0.10767
0.9499999999999997,0.3473,0.11261,0.148,0.10862
0.9749999999999998,0.3416,0.11369,0.13876,0.10962
0.9999999999999998,0.33588,0.11481,0.12963,0.11067
