,,gross_sharpe,net_sharpe,net_maxdd
vol_window (days),20,0.6834654913421064,0.486028127202418,-0.2728555955139621
vol_window (days),40,0.6735784885286696,0.5007316938710652,-0.26725822715070047
vol_window (days),60,0.6284423467928715,0.46592326747832413,-0.29318494205516343
vol_window (days),90,0.5496255062486343,0.4022253960999654,-0.2988797935604931
vol_window (days),120,0.49198535706324625,0.35062769328736637,-0.30645553509900103
vol target,0.06,0.6284423467928711,0.4659232674783242,-0.18505949153956203
vol target,0.08,0.6284423467928714,0.4659232674783242,-0.24059402979040656
vol target,0.1,0.6284423467928715,0.46592326747832413,-0.29318494205516343
vol target,0.12,0.6281127472890387,0.4656460904441752,-0.34291804313002217
vol target,0.15,0.6216689210782379,0.4606396944320779,-0.41235516606696176
rebalance freq,ME,0.6284423467928715,0.46592326747832413,-0.29318494205516343
rebalance freq,2W,0.7018537529672474,0.4308517258555825,-0.300517040026838
rebalance freq,W,0.7184437541660084,0.22809555221961506,-0.34908497659814997
rebalance freq,QE,0.4437008975761163,0.36775676347777914,-0.36167643153581996
n_buckets,3,0.707734792746254,0.5079614732999063,-0.33546569103419455
n_buckets,4,0.6828384308840906,0.5081732988526794,-0.2772348521602679
n_buckets,5,0.6284423467928715,0.46592326747832413,-0.29318494205516343
n_buckets,6,0.7150238148865438,0.5657738655179391,-0.2669609222105377
max_leg_share (cap),0.25,0.49828580111177606,0.36112152543865744,-0.31270658670191487
max_leg_share (cap),0.33,0.577079668005159,0.4234960711321425,-0.30424534368685396
max_leg_share (cap),0.4,0.6284423467928715,0.46592326747832413,-0.29318494205516343
max_leg_share (cap),0.5,0.680623405245697,0.5101693049583746,-0.2911798496179093
max_leg_share (cap),1.0,0.6914404354676948,0.5176169273394058,-0.2911798496179102
