,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,alpha_vs_carry_ann,t_alpha_vs_carry
U7_carry_gross,2007-05-01,2024-09-30,4545,-0.018999803811442475,0.1161058436228286,5.3494313187971135e-05,-0.29504602969403765,9.2371896876141,-0.16364209774973595,-0.6268171318408545,0.011046029724651563,0.02008437695503033,0.017302842726961597,0.029670315279864194,0.5091309130913091,0.06363341780559797,-0.07336642991798593,0.00823654879394682,-0.02542349207359651,-0.22400258580059831,-0.04055966370755067,-0.21585442283131642,0.44598195369981547,,,
U7_carry_net,2007-05-01,2024-09-30,4545,-0.03683842988105763,0.11611938870941112,5.350679537399727e-05,-0.29138627061866806,9.209377208886053,-0.31724615751505403,-0.7165487938098625,0.011201155985172,0.02020745142775023,0.017353467695519337,0.029721534684988705,0.5045104510451045,0.06363341780559797,-0.07336642991798593,0.00864347273856403,-0.04265865081951126,-0.4314582829941802,-0.059533490514577306,-0.35712760757246054,0.44598195369981547,0.017838626069615147,,
U7_basis_gross,2007-05-01,2024-09-30,4545,0.019088997597582046,0.11931333135361324,5.649075809006788e-05,-0.10295182635514333,11.62218337298293,0.15999048372061034,-0.35386344199901876,0.010982468940965804,0.019090587579535467,0.016891016228616416,0.029315607093026753,0.49724972497249725,0.059638423587331804,-0.08528627056155512,0.002564065278438227,0.012038323575736642,0.22805021819255888,0.03401968710791556,0.06825006228335642,1.1374318088315942,,,
U7_basis_net,2007-05-01,2024-09-30,4545,-0.015042611729071152,0.11973536064939373,5.689109757873168e-05,-0.10606199863006024,11.511399192404872,-0.1256321578478272,-0.5355941140901492,0.011191008103987946,0.01940484051413826,0.017144474506659704,0.02959017908954213,0.48954895489548955,0.059638423587331804,-0.08528627056155512,0.004776982786308036,-0.02197244449877578,-0.17663741795333576,-0.041024432346688296,-0.14086034028818717,1.1374318088315942,0.0341316093266532,-0.008833271127329474,-0.32229003930898853
U7_onshore_gross,2007-05-01,2024-09-30,4545,-0.033637171338585695,0.1138956786265931,5.147708575322292e-05,-0.3533184560285211,8.783057554399514,-0.29533316578994306,-0.6938192662707934,0.011299547517894597,0.02018680037708345,0.017304223960639093,0.028545199634089607,0.5133113311331133,0.06639908345715655,-0.07206423270239297,0.03346569321757168,-0.03934388344329298,-0.3984231793175494,-0.05670624232555875,-0.3544541780345371,0.2340379133843708,,,
U7_onshore_net,2007-05-01,2024-09-30,4545,-0.0465585535196937,0.11400785712056735,5.157853763977658e-05,-0.347960643575948,8.737558578767826,-0.40838021778144973,-0.7447914611486202,0.011383670346373623,0.020564948352194273,0.017355238338486668,0.028567300431145932,0.5095709570957095,0.06639908345715655,-0.07206423270239297,0.03292213867616594,-0.05169161554048585,-0.5484317572026615,-0.06940414631065567,-0.46347297335134774,0.2340379133843708,0.012921382181108007,-0.015313613642980433,-1.2302431172787762
U7_tilthi_gross,2007-05-01,2024-09-30,4545,0.0072405662626752664,0.12121042623003765,5.83014580431246e-05,-0.7359626080442271,14.687430852507704,0.0597355069846372,-0.5171617897844585,0.01089300311083174,0.02127992086614672,0.018259665616519583,0.033007150126498026,0.521012101210121,0.06023817694335928,-0.08614395129681898,-0.007239598122505274,-0.0001348632562495622,0.0811995128523005,-0.0002607757551186645,-0.005823037972543994,0.9516311921594051,,,
U7_tilthi_net,2007-05-01,2024-09-30,4545,-0.020794106477918656,0.12141774830234957,5.8501069852431396e-05,-0.72770286088999,14.539509730970918,-0.17126084751743223,-0.6662077630899792,0.011145497034315268,0.02127992086614672,0.018426121201756254,0.033007150126498026,0.513091309130913,0.06023817694335928,-0.08614395129681898,-0.007304565197776925,-0.027803094736570944,-0.23059485845085925,-0.0417333694936482,-0.20584324273201818,0.9516311921594051,0.02803467274059392,0.008616687992160008,0.4968366851978102
U7_tiltlo_gross,2007-05-01,2024-09-30,4545,-0.056974167093129705,0.11574916993707603,5.3166152147309934e-05,-0.625283025802421,9.766742329738097,-0.4922209560906761,-0.7517353012312308,0.011577265671733688,0.02047072566619004,0.017657911990013424,0.029620931879348604,0.4974697469746975,0.05834364032519457,-0.08778090070151706,0.010979707054679044,-0.061717123241821326,-0.656237036158976,-0.08209954107614455,-0.5731555971141722,0.7678128421958408,,,
U7_tiltlo_net,2007-05-01,2024-09-30,4545,-0.0799832920581582,0.1162707756357764,5.364640185295655e-05,-0.6129643600668135,9.568027717452576,-0.6879053796691748,-0.8298304134565337,0.011769367225768356,0.020606203538592383,0.01777874741024923,0.029780676152051985,0.49174917491749176,0.05834364032519457,-0.08778090070151706,0.011245004023189622,-0.0831219667307771,-0.909923951513799,-0.10016741418833404,-0.7714798857136945,0.7678128421958408,0.023009124965028462,-0.05695996515448873,-2.7563260657685538
