owner,workstream,variant,basis,window_set,window,start,end,n_obs,cum_return,max_drawdown,worst_obs,hit_rate,sharpe,ann_return,ann_vol,share_pnl,note
Arjun,Duration hedge (own port),(no per-window table),missing,,,,,,,,,,,,,,"his own book is not ported to the base; only our re-price exists (P4-C components). A re-price is our reading of his signal, not his specification of it, and this table deliberately does not substitute one for the other"
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,GFC 2008-09,2008-09-01,2009-06-30,217.0,-0.0675301535180465,-0.1781896476585691,-0.0402511930187669,0.5023041474654378,-0.5002426110910042,-0.0710787398386109,0.1420885351681491,-0.0546903968970997,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,calm 2017-19,2017-01-01,2019-12-31,782.0,0.1075720515650184,-0.1644166647013182,-0.036816854307167,0.5294117647058824,0.3749082219259959,0.0380901229134775,0.1015985264814924,0.1056162513305081,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,covid 2020,2020-01-01,2020-12-31,262.0,-0.130310098122497,-0.2459515448443774,-0.033184017820261,0.4618320610687023,-1.1040603047672324,-0.1275832167990234,0.1155581957327246,-0.1185240439928519,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,392.0,0.0138417767719907,-0.1458500340156463,-0.0416374467591028,0.4948979591836734,0.1351704483411937,0.0149472781852077,0.1105809618051881,0.0207758980764166,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,349.0,0.2391575666316192,-0.0841491173492076,-0.0268770482285155,0.5501432664756447,1.438267029443672,0.1611410531241289,0.1120383418553779,0.1994083070009014,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,recent 2024-26,2024-01-01,2026-06-30,652.0,0.6987443121666488,-0.110451799531656,-0.0392992141809823,0.588957055214724,1.9868461711356196,0.2105032008783364,0.1059484140928833,0.4866513376992792,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,recovery 2009-11,2009-07-01,2011-06-30,522.0,0.0880325998819335,-0.0972465224625571,-0.028724860894929,0.5153256704980843,0.4738889076229549,0.0452945654180837,0.0955805563065044,0.0838355507762126,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,1044.0,0.1420010497397941,-0.2412221315590496,-0.0421161980853926,0.5268199233716475,0.3445723309283935,0.0382202405862496,0.1109208057514991,0.1414834159803339,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,ERAS,tightening 2021-23,2021-01-01,2023-12-31,781.0,0.1407305152870399,-0.181129145502795,-0.0383421975458564,0.5518565941101152,0.4321483815007403,0.048909822814465,0.113178308442609,0.1354436800262993,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,china_em_2015,2015-06-01,2016-02-29,196.0,-0.0333898748270318,-0.0850594057264602,-0.0291751405947169,0.5153061224489796,-0.3398475243325971,-0.0375579433744551,0.1105141002519073,-0.026101742198112,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,covid_2020,2020-02-01,2020-04-30,64.0,-0.1696579539115337,-0.2127832390364341,-0.033184017820261,0.40625,,,,-0.1631097528341349,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,euro_2011,2011-07-01,2012-12-31,392.0,0.0138417767719907,-0.1458500340156463,-0.0416374467591028,0.4948979591836734,0.1351704483411937,0.0149472781852077,0.1105809618051881,0.0207758980764166,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,gfc_2008,2008-09-01,2009-06-30,217.0,-0.0675301535180465,-0.1781896476585691,-0.0402511930187669,0.5023041474654378,-0.5002426110910042,-0.0710787398386109,0.1420885351681491,-0.0546903968970997,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,oil_2026,2026-02-01,2026-05-31,85.0,0.1006148379817646,-0.0197843747518704,-0.0178721767154942,0.611764705882353,,,,0.0869063631209605,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,rates_2022,2022-01-01,2022-10-31,216.0,0.1468204481001294,-0.0723414540584588,-0.0201729725148018,0.5231481481481481,1.6111586907190758,0.1650921138552396,0.1024679411197896,0.1264421003006465,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,semis_2026,2026-04-01,2026-06-30,65.0,0.1184887773084282,-0.0197843747518704,-0.0178721767154942,0.6307692307692307,,,,0.1009875495475825,source: cesare/outputs/p4_component_by_episode.csv
Arjun,P4-C components,Duration hedge (long TLT),daily_net,STRESS,taper_2013,2013-05-01,2013-09-30,109.0,-0.1564616714379265,-0.2092227134317608,-0.0409062005481435,0.4587155963302752,,,,-0.1473156440702272,source: cesare/outputs/p4_component_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,GFC 2008-09,2008-09-01,2009-06-30,217.0,-0.0936109140286977,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.8118881610482898,-0.1056307648840768,0.1301050685942865,-0.093345225460397,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,calm 2017-19,2017-01-01,2019-12-31,782.0,0.039957046159134,-0.153074300371046,-0.0363732860181878,0.5230179028132992,0.1784429732575724,0.0173710651052637,0.0973479918438121,0.055319105831833,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,covid 2020,2020-01-01,2020-12-31,262.0,-0.1034740221940587,-0.1915106084388109,-0.0381055203606018,0.4923664122137404,-1.1484209073393652,-0.1011487333517963,0.0880763600744046,-0.1079204358295764,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,392.0,-0.0342467334962902,-0.175372303494941,-0.0490595446782844,0.5153061224489796,-0.1352305302242478,-0.0156724883588636,0.1158946011146636,-0.0250187710893568,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,349.0,0.2391575666316192,-0.0841491173492076,-0.0268770482285155,0.5501432664756447,1.438267029443672,0.1611410531241289,0.1120383418553779,0.2290200869187299,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,recent 2024-26,2024-01-01,2026-06-30,652.0,0.6596942693523411,-0.1107326824417597,-0.0417769719687692,0.593558282208589,1.924086323904004,0.2013711012502695,0.1046580388564293,0.534671076804139,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,recovery 2009-11,2009-07-01,2011-06-30,522.0,0.0636320508769976,-0.0925280821694796,-0.0295753008816775,0.5076628352490421,0.3452154865520408,0.034883561540273,0.1010486577200943,0.0741537763350717,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,1044.0,0.1087039134667369,-0.2297165080349731,-0.0458918102706338,0.5258620689655172,0.2838355678647208,0.0308194446284679,0.1085820387498329,0.1310289490430658,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,ERAS,tightening 2021-23,2021-01-01,2023-12-31,781.0,0.1981272619192975,-0.1817288196868841,-0.0352670909604092,0.5685019206145967,0.6233749742792233,0.063541129205263,0.1019308310840236,0.202091437446491,source: cesare/outputs/p4_tail_overlay_by_episode.csv
