,avg_short_vol_weight
TRY,0.0551383801383801
MXN,0.037759462759462764
THB,0.030586080586080606
KRW,0.02553927553927555
INR,0.020960520960520965
JPY,0.0207061457061457
ILS,0.0131969881969882
BRL,0.012861212861212857
ZAR,0.011233211233211235
CNH,0.01035816035816036
SGD,-0.004253154253154254
PLN,-0.004314204314204313
EUR,-0.014245014245014242
GBP,-0.01755189255189254
SEK,-0.01993284493284493
HUF,-0.025040700040700047
NOK,-0.025478225478225487
CAD,-0.026343101343101357
NZD,-0.03060643060643062
AUD,-0.03498168498168501
CHF,-0.03559218559218561
