ladder,rung,step,owner,component,components,gross_sharpe,net_sharpe,ann_return_net,ann_vol_net,max_drawdown,CVaR_99,skew,calmar,sortino,turnover,cost_drag,n_days,alpha_vs_prev_ann,t_alpha_vs_prev,slot_rule,windows_improved,windows_tested,windows_dd_better,windows_cvar_better,windows_won,d_net_sharpe,slot_tail_ok,slot_cost_ok,slot_earned,ladders_agree,survivors
add,0.0,baseline,-,,(none),0.6284423467928719,0.46592326747832447,0.05214343433645578,0.1119142098626392,-0.29318494205516343,0.02919874578407466,-0.6480046211041329,0.1600595389477542,0.6341168503826068,0.6754702284294828,0.018146611265764313,5001,,,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,,,,,,,,,,,duration|vix_gate|skew_excl
add,1.0,+ Duration hedge (long TLT),Arjun,duration,duration,0.6802357426899243,0.5144614943035014,0.0563938212901412,0.10961718595964001,-0.2842355976576312,0.02824717887706258,-0.5975545396680221,0.18173593917669517,0.7057988793847308,0.6754702284294828,0.018148693884446315,5001,0.007391363196556118,1.1592782766658,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,4.0,6.0,3.0,3.0,euro_2011|taper_2013|china_em_2015|covid_2020,0.048538226825176944,True,True,True,,duration|vix_gate|skew_excl
add,2.0,+ VIX percentile gate (p80 / 756d),Dafu,vix_gate,duration|vix_gate,0.6848825658534361,0.5126500998197031,0.05335261453588429,0.10407218208803272,-0.2412221315590477,0.027522575624871988,-0.6554058253610632,0.20348484912729156,0.7017994497134145,0.7056276062931829,0.017885912788844535,5001,0.0008272130227128819,0.17824628652018962,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,3.0,6.0,2.0,2.0,china_em_2015|covid_2020|rates_2022,-0.001811394483798301,False,True,False,,duration|vix_gate|skew_excl
add,3.0,+ Macro/regime probability gate,Vidhi,regime_gate,duration|vix_gate|regime_gate,0.3575771278624345,0.1517830294677191,0.012792324544648508,0.08428033482734743,-0.34500485228672195,0.024237527651588566,-0.740264013922815,0.0268817122891648,0.20580390309006935,0.8867397983464222,0.01731733159202793,5001,-0.02144072964595686,-1.76295857290628,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,3.0,6.0,2.0,3.0,euro_2011|taper_2013|china_em_2015,-0.360867070351984,False,False,False,,duration|vix_gate|skew_excl
add,4.0,+ Bad-skew exclusion (XS top quintile),Theo,skew_excl,duration|vix_gate|regime_gate|skew_excl,0.368121834816022,0.19993217104764946,0.013504292362811194,0.06754436913303333,-0.26139157669291246,0.016858697996790496,-0.2912040672086096,0.04317134150441088,0.2822844069590559,0.7012473904652621,0.011341122674859877,5001,0.00610334620183072,0.6033247981294021,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,6.0,6.0,6.0,5.0,gfc_2008|euro_2011|taper_2013|china_em_2015|covid_2020|rates_2022,0.04814914157993036,True,True,True,,duration|vix_gate|skew_excl
loo,,- Duration hedge (long TLT),Arjun,duration,vix_gate|regime_gate|skew_excl,0.3171002996819519,0.14228389341060815,0.009253905409125796,0.06503832013101112,-0.21807875674123678,0.017662500123260524,-0.4815392060217338,0.032840637570958155,0.19854251763319272,0.7012473904652621,0.011339040056177876,5001,-0.002278555067383977,-0.3612799010244528,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,5.0,6.0,3.0,4.0,euro_2011|taper_2013|china_em_2015|covid_2020|rates_2022,0.057648277637041306,True,True,True,True,duration|vix_gate|skew_excl
loo,,- VIX percentile gate (p80 / 756d),Dafu,vix_gate,duration|regime_gate|skew_excl,0.32041001000125524,0.1450501290950195,0.010148157799966438,0.06996310767375173,-0.2730207331000617,0.017245261901012315,-0.30428079055321755,0.028307506286014427,0.20363463918840616,0.7456715094478691,0.012258623711316525,5001,-0.003673962075525984,-1.4747415547975844,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,3.0,6.0,3.0,2.0,gfc_2008|china_em_2015|rates_2022,0.05488204195262997,False,True,False,False,duration|vix_gate|skew_excl
loo,,- Macro/regime probability gate,Vidhi,regime_gate,duration|vix_gate|skew_excl,0.6808072460140009,0.5322654215564873,0.044303143185779374,0.08323505790818624,-0.19066493540558727,0.01894180337198561,-0.26129123964573475,0.2185970586611993,0.7598508127558561,0.6051437773003898,0.01229819976247042,5001,0.03135993126348748,2.6926495357548905,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,4.0,6.0,2.0,4.0,euro_2011|taper_2013|china_em_2015|rates_2022,-0.3323332505088378,True,False,False,True,duration|vix_gate|skew_excl
loo,,- Bad-skew exclusion (XS top quintile),Theo,skew_excl,duration|vix_gate|regime_gate,0.3575771278624345,0.1517830294677191,0.012792324544648508,0.08428033482734743,-0.34500485228672195,0.024237527651588566,-0.740264013922815,0.0268817122891648,0.20580390309006935,0.8867397983464222,0.01731733159202793,5001,0.0006281172439809724,0.04878369382963323,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,6.0,6.0,6.0,5.0,gfc_2008|euro_2011|taper_2013|china_em_2015|covid_2020|rates_2022,0.04814914157993036,True,True,True,True,duration|vix_gate|skew_excl
final,0.0,baseline,-,,(none),0.6284423467928719,0.46592326747832447,0.05214343433645578,0.1119142098626392,-0.29318494205516343,0.02919874578407466,-0.6480046211041329,0.1600595389477542,0.6341168503826068,0.6754702284294828,0.018146611265764313,5001,,,improve MaxDD or CVaR99 in >=4 of 6 pre-2026 stress windows AND cost <0.05 net Sharpe AND survive LOO,,,,,,,,,,,duration|vix_gate|skew_excl
