,n,r2,alpha_ann,alpha_t,beta_SPX_ret,t_SPX_ret,beta_MXEF_ret,t_MXEF_ret,beta_BCOM_ret,t_BCOM_ret,beta_DXY_ret,t_DXY_ret,beta_dVIX,t_dVIX,beta_dFXvol,t_dFXvol,beta_dUST2Y,t_dUST2Y,beta_d2s10s,t_d2s10s
AUD,4697.0,0.5835231873665916,-0.010706168423907932,-0.6791153972003559,0.20545655627021261,8.20023502426056,0.07171040019502925,5.399712804316193,0.1014354627052615,9.607525830864923,-0.7049723680021138,-25.652989723717113,-0.00012876299299166653,-0.9371130784470256,-0.0026894957519061034,-2.794654188200883,-0.004708552478286846,-2.4611658908535707,-3.3536892408224674e-06,-0.12111142394792221
CAD,4697.0,0.5250000666584813,-0.013261950588331526,-1.0284012682927315,0.142944181179689,8.941564348350068,0.01658816494390943,1.9381938424707963,0.10717624514115859,14.175893454287136,-0.47128407650074744,-26.105538859042824,-0.000113596561779968,-1.283900660749441,-0.0002127197930419248,-0.6190177632317725,0.0037363021601337144,2.309299973470247,7.953956849876927e-05,3.9364925245542195
CHF,4697.0,0.5098746659893678,0.020264955253461166,1.3101385726340764,-0.04012432031689283,-2.9627562612822573,0.0062319682529668715,0.3297869635791006,0.009248037010623595,1.2491821417785394,-0.9587286274796983,-47.61320979446209,-5.4640193308511415e-05,-0.4787714431525692,0.0025102832992718316,1.9151726167270917,-0.013344274140279198,-5.386678034089522,-8.079364231232012e-05,-2.5928659033567945
DKK,4697.0,0.8592153366362025,-0.009892863285609468,-1.7628192001307974,0.024919853772571,3.1196928115451787,-0.0190787965826936,-3.369675499845935,-0.020262841351692793,-4.471890031164727,-1.1198715835056197,-103.94096071685684,-2.3580710560413353e-05,-0.5864747782914194,-0.00010713282316804027,-0.3718289544443493,0.005971599174279925,7.051129424645782,4.4883818446856e-05,3.941827575482802
EUR,4697.0,0.8598757597592688,-0.008540358155845133,-1.5244119322450917,0.024856501531505582,3.110949201521347,-0.019480419987743185,-3.4049051660188483,-0.02009818064553565,-4.3977090896213165,-1.121156128529447,-103.35151509890707,-2.5143005986670205e-05,-0.6261746359027411,-0.0001257224051719574,-0.4260262271995393,0.006093839527790681,7.200709681322164,4.483573915755034e-05,3.9313951096325144
GBP,4697.0,0.5120137027326321,-0.012077451750265698,-0.8405426111350477,0.0758806179677068,5.533461091715026,0.008252419231584766,1.0126679146307358,0.01439208919374248,1.6640075089369146,-0.7953130854169151,-30.61178298652086,0.00010841878065447607,1.4009426426515752,-0.0015671201929839244,-2.4746985520768456,-0.0006939650175627911,-0.3631068685988403,2.6549957132788238e-05,1.1094679410068402
HKD,4697.0,0.029563554148064553,-0.005012215408373006,-3.5850521757051,0.0008900922119890372,0.7918203456892031,0.00411971329316727,4.998117102507051,-0.0008600610957356553,-1.2178184486466006,-0.006499354297356059,-4.178821100678156,3.6729308765942853e-06,0.47597096205848183,1.1818369605390892e-05,0.36821331771242133,-0.0003143436394298367,-2.154612771045774,2.8796632796768602e-06,2.020376702789852
JPY,4697.0,0.49260208199749256,-0.020408235037361274,-1.2976263746554937,-0.09264044863360178,-4.587980549745873,-0.032650848741456635,-3.573569486122725,-0.021174944449894848,-2.249283619038876,-0.6151556345725472,-26.308295053391948,3.679971386252609e-05,0.3219720681882468,0.003216936270635246,5.078339471260798,-0.04188160655172403,-20.52013200780389,-0.0002547442354532484,-9.68398816132515
NOK,4695.0,0.6265790693734662,-0.017601169347177134,-1.1115376615298145,0.13168356849324858,5.331911937615985,0.02985450560316501,2.8063171785666445,0.13526801278018385,12.822157003391137,-1.002178018398055,-46.77627980866425,-0.00014456286779518122,-1.0423287572231348,-0.00043646548836828546,-0.7791359636677704,-3.507739733063676e-05,-0.017363896034854408,6.65587159687581e-05,2.6765738235481407
NZD,4697.0,0.502896740659526,-0.009336535529001806,-0.4998739951990878,0.1972584678869359,11.262220744306305,0.055689884379183416,5.232907911238411,0.056142459914001214,4.848152702108143,-0.7501532231342966,-25.370608608330368,-0.0001157141755557046,-1.0337454276227922,-0.0016075145376600892,-2.182450716414987,-0.008311051301038045,-3.9050360229033734,-4.5358268620890446e-05,-1.574332519220742
SEK,4697.0,0.666217841234114,-0.02232902620581725,-1.6577058406157041,0.13905465943873216,8.427580849068745,0.012047509886807587,1.311962170082873,0.01359088387238977,1.4958048125705778,-1.1554456663484918,-63.53402249031115,3.70035329827867e-05,0.44175016680747786,-0.0002909018381118891,-0.6117068950517274,0.004061375421878053,2.3247918942068972,6.364286839679464e-05,2.978641836529757
BRL,4452.0,0.2706422531203725,0.025688252090688382,0.8890180551306672,0.16610151856828784,4.883157787622603,0.09566624277276053,4.620057758779885,0.15287961753704982,8.242568313409224,-0.3868785246962416,-8.561848553818962,-0.0005326248532822038,-2.8030382428755622,-0.0008888255821985209,-0.9518985565811622,0.0012294208895240332,0.32300415136562394,-0.0001279862454046873,-3.0783906655012667
CLP,4317.0,0.23455456273354847,5.912363197451471e-05,0.0023272514317319998,0.05698613840588403,2.904538454790745,0.10853655471632888,7.374088454686159,0.0900373200942151,5.689506500708213,-0.3190371270392033,-11.022790682626034,-0.00018395491338609924,-1.7038309696515164,-0.0027209298978233907,-4.289443713515613,-0.007857547027093188,-2.4688708712434324,-4.5077026125760574e-05,-1.2792498894834274
CNH,3805.0,0.2312245426916153,0.008971359311515133,1.0058876337115636,0.012404968665741726,1.45388518269782,0.038254375199936665,6.713573481580175,0.016214730669703463,3.0614085779646496,-0.2096395940274224,-14.9206572673841,-0.0001135898796513823,-2.1364462209085846,0.00022814931131486112,0.7652166934006847,-0.005288368123116372,-4.173077647654654,-1.9033701076965733e-05,-1.2973502565114508
COP,4305.0,0.23216007370612868,0.00992183068317643,0.3433247330537467,0.045485429451919586,2.055760566241066,0.13091194040736784,6.990187447583476,0.14183658028471,8.593824520983897,-0.24268716822948228,-7.438583076796245,-0.00022902308014863867,-1.7753207615254278,-0.0023799844744923217,-3.143344977828597,-0.0009615314538146195,-0.26053466812066106,-9.090379546214477e-05,-2.173341721221283
HUF,4644.0,0.6082296693519009,-0.00048696979211764136,-0.025153505203249153,0.14753736441943144,4.559785177251847,0.010297026424428877,0.684986801830313,-0.018918272652886373,-1.2979883127125582,-1.3505869900743528,-46.91535665352501,-4.028243272033541e-05,-0.26060730772373725,-0.0011727844663450737,-1.3056428541784324,0.013764100190700367,4.970229380460398,4.460494998272565e-05,1.3179956482607198
IDR,4314.0,0.1773063707806536,0.014990673046098335,0.8840499971330371,-0.03236008104128899,-2.183928741097714,0.14909132385274626,14.565396886809566,-0.0172112490098737,-1.4864040668200775,-0.047605847339631205,-2.237516247543258,0.00010087427199328102,0.9530985820921591,-0.0014691391008510141,-3.222504072640677,0.0011114971304244177,0.6979109535319951,-2.3177866883345145e-05,-1.2969452442687714
ILS,4648.0,0.2528396046700886,0.026804099250667925,1.602088517646825,0.0763576199131666,4.7555237377340465,0.06308612828461813,6.9272574671784675,-0.005631591811474315,-0.6435008948731912,-0.3736247835604227,-17.916787628753845,-0.00013030192664266374,-1.3479007253980357,-0.00024267281780776447,-0.42336266262030986,-0.0072007516854242885,-3.487902636440985,-3.684921113444589e-05,-1.7940519914135822
INR,4102.0,0.23374395896637967,0.01510517096527854,1.0383696541427252,-0.02560149908912018,-2.4017680236532706,0.15894188968610615,17.4346602334905,-0.0021526649936000936,-0.27886852231644715,-0.08471557943843881,-5.570641759303734,2.1174793948783776e-05,0.3388642777029728,-0.0004727805638971984,-1.2330721575013777,0.002780563739793807,2.223367872470135,5.318486427258601e-05,3.1629266032122367
KRW,4122.0,0.34196194216673714,-0.017285402271063666,-0.9174451914353356,-0.09382766787470152,-3.1133062691042093,0.36105736414514633,10.259497209260893,-0.054139855950622005,-2.4124550897711052,-0.10390990011294748,-2.915342184660992,-7.705345735498611e-05,-0.4903954091946937,1.0790484737770653e-05,0.00876821041296796,-0.0015438840969569617,-0.5873482124470346,3.071757039800103e-05,0.9137065846241054
MXN,4685.0,0.36130807083948235,0.005144619212775175,0.22866010488972874,0.24247583051432547,7.468790612405256,0.01922172861071768,1.3958750300941944,0.04037741777751689,3.1130465887876078,-0.36918255420842466,-12.283497844934633,-0.0003689112095530017,-2.3177036051296325,-0.0019681956617335944,-1.9656623019950465,-0.0009939257412137077,-0.34553139768920477,-6.651840802115132e-05,-1.5012569336833497
MYR,4265.0,0.25157709171686415,0.007000886233742714,0.5338358608423535,-0.03742479292491714,-2.9032014967849182,0.1731860682045529,17.855298366882344,-0.0040046568335904845,-0.6053738094088952,-0.06685204076304206,-4.034831980741454,-4.707274581098416e-06,-0.052929804921503856,0.0003490158017376739,0.9559896852122404,-0.0007968818749491967,-0.6508698009699415,1.1982708171662072e-05,0.8208377106716555
PEN,4339.0,0.10791376513849005,0.016868752365291517,1.2917140887346632,0.037055549096094056,3.2909671809770162,0.04339777168384332,5.934368596463246,0.02091960478402465,2.341427147345039,-0.09730665454140253,-6.216951264560976,-8.534606996101025e-06,-0.1277268226525453,-0.0002788603612970697,-0.9587969233422382,-0.0034385540865267293,-2.330553301207425,-2.520003282899091e-05,-1.4754248996683508
PHP,4302.0,0.21173733000556727,0.01640167319446509,1.4365594218625362,-0.03239724847003558,-4.2584105331326265,0.14069281682269463,21.2983737713137,-0.01603178399188212,-2.5586507536758987,-0.05157229858000609,-3.896657417313849,1.3012855501257961e-05,0.2692177566505458,-0.000147781471938002,-0.5839365476087379,-6.980006233856935e-05,-0.0609250792567101,-9.66289739592124e-06,-0.6584449754389483
PLN,4687.0,0.6420385794916861,0.0025028350362963233,0.1507691175642323,0.14469806554813067,5.683308959945121,0.015674388570380008,1.1995125855280726,-0.008385416325133652,-0.5903485077389227,-1.2760541078011134,-45.214979375039675,-8.319966782180341e-06,-0.0735329086837812,-0.0017983328432608805,-2.247149037663587,0.0095744317826629,4.452293232016585,0.00010415980939633574,3.4477988494059253
SGD,4686.0,0.5691122297701008,0.0057258703234091745,0.8235114714758215,0.037300270655270085,5.256822224155427,0.032438248858976865,6.7686616084266475,0.011862625302266805,2.342248098579044,-0.4246863470826176,-36.74441744512278,-0.0001566793520127683,-3.639204226033783,-8.036599683849636e-05,-0.306675604476815,-0.0032833122193408363,-3.711974069439185,9.090567541892756e-06,0.784343931039537
THB,4347.0,0.14558911519979323,0.009942701334942048,0.7653383450213466,-0.025073898747474548,-2.5798692591738073,0.1209109436570024,13.568228545725376,-0.0014074011707417595,-0.1896103292165785,-0.10849152631422329,-7.975746955228455,8.46001085020849e-06,0.1393545882910715,0.0010930647914344806,3.896742270358496,-0.0002039396945401318,-0.15086045382864405,-4.14804054439544e-07,-0.027272113271023975
TRY,4697.0,0.16012361293114297,-0.005638236948337284,-0.17073036742077835,0.11027970181615752,5.150008582754569,0.08318917008442037,4.893429537678709,0.04460012019136963,2.861233254517256,-0.357957218040024,-10.048741666223528,-0.0001236883793774391,-0.9414722626982134,-0.003652509524497024,-3.894857239292518,0.005672346861498327,1.8576127494350707,-2.3253209996937915e-05,-0.7098419974827603
ZAR,4695.0,0.4018815322504199,0.008854257153822159,0.3114423494518486,0.24238781811766916,7.342061299698604,0.11000020367723254,5.818485897178041,0.06790045148006502,3.867142216424953,-0.6995621242085016,-21.025221529405556,-0.00041961560240995284,-2.52704530659223,-0.0019108433296141142,-2.143767504454522,-0.0011988160528793367,-0.3387330047788445,-0.00010114054278898254,-2.565142235321911
