,G10_carry_net,G10_mom21_net,G10_filter21_net,G10_blend21_net,G10_mom63_net,G10_filter63_net,G10_blend63_net,G10_mom252_net,G10_filter252_net,G10_blend252_net,ALL_carry_net,ALL_mom21_net,ALL_filter21_net,ALL_blend21_net,ALL_mom63_net,ALL_filter63_net,ALL_blend63_net,ALL_mom252_net,ALL_filter252_net,ALL_blend252_net
G10_carry_net,1.0,-0.0433325920231817,0.5168738297230202,0.6564838053134411,-0.06492859683685033,0.5706988780511554,0.6681049976236753,0.04173753463217408,0.578772836068262,0.6451625098843481,0.5266961384490918,-0.0743803302877102,0.31508907165973504,0.19319471566377514,-0.03099859009661386,0.41242614028961777,0.2441391410343488,0.01211371311760884,0.397105541332616,0.25232518957562855
G10_mom21_net,-0.0433325920231817,1.0,0.37927618040082667,0.5114144513940787,0.5714165089020848,0.2390302553268537,0.31607085134649704,0.3358230690401773,0.13232694058747696,0.1876410559892883,-0.008125446660796445,0.546261313373692,0.20147535913923806,0.40686167153771274,0.38036157481509253,0.08864597397666026,0.2548581582108266,0.21898978081912743,0.06195400227489123,0.14055786046805013
G10_filter21_net,0.5168738297230202,0.37927618040082667,1.0,0.6028291259524817,0.2413735804528894,0.6652212898451455,0.5397345592523438,0.22437847961963886,0.5315707788430736,0.46367604424990116,0.3302261361588337,0.40001796806862056,0.5180624569257444,0.48820318782595257,0.2967974592966387,0.35613881258483154,0.3879646382178405,0.20682724119143525,0.30917370628490204,0.32724588197274757
G10_blend21_net,0.6564838053134411,0.5114144513940787,0.6028291259524817,1.0,0.2615920238635669,0.5400170000992996,0.6980120855172947,0.20521264358577707,0.4683561564564452,0.5670437553662386,0.36422049096773684,0.2720188616321326,0.3766721324247775,0.4102644497565266,0.19705825747331143,0.35757412970262864,0.3168948984580415,0.12769273237608703,0.31397125166822454,0.24833258316663148
G10_mom63_net,-0.06492859683685033,0.5714165089020848,0.2413735804528894,0.2615920238635669,1.0,0.30937318079006126,0.47826061722185964,0.4958072772576433,0.1913891443274829,0.2599707999873518,-0.020289984484332214,0.3640565307663496,0.12923824513724105,0.24041421239509125,0.5011174245304428,0.10281332088006248,0.3678453176222098,0.29959627501149094,0.07968157091606087,0.2326470512603952
G10_filter63_net,0.5706988780511554,0.2390302553268537,0.6652212898451455,0.5400170000992996,0.30937318079006126,1.0,0.6093124756652307,0.24476535479010075,0.6240224643562359,0.4828281341147397,0.3552315618045784,0.2426794732466256,0.39058390527190495,0.37518190072481794,0.3868419220775961,0.49992358048621577,0.4810191797625503,0.21057427376144333,0.3386211391791599,0.3393442357156577
G10_blend63_net,0.6681049976236753,0.31607085134649704,0.5397345592523438,0.6980120855172947,0.47826061722185964,0.6093124756652307,1.0,0.34995937647419356,0.5249288125626942,0.6823014569275345,0.36531436890924845,0.19533070998611243,0.3265480982910693,0.3043189998013135,0.303146747505315,0.38134983694979363,0.42013072591344525,0.18426729947018872,0.3338724327987551,0.33281569375817677
G10_mom252_net,0.04173753463217408,0.3358230690401773,0.22437847961963886,0.20521264358577707,0.4958072772576433,0.24476535479010075,0.34995937647419356,1.0,0.3906671932830179,0.5676053346941222,0.04360965008028381,0.2165951389914103,0.12029100010886688,0.19358935338402272,0.30410034728783353,0.10166929896443166,0.24022267158892333,0.5042705146370994,0.18342176638487212,0.4116272209740379
G10_filter252_net,0.578772836068262,0.13232694058747696,0.5315707788430736,0.4683561564564452,0.1913891443274829,0.6240224643562359,0.5249288125626942,0.3906671932830179,1.0,0.5926269512687218,0.3885181491946098,0.10473698649809902,0.3442477424490079,0.3108893698194065,0.21886344558500273,0.37581027912165765,0.3730837515293039,0.396972075213306,0.5235089761365853,0.48426768446375007
G10_blend252_net,0.6451625098843481,0.1876410559892883,0.46367604424990116,0.5670437553662386,0.2599707999873518,0.4828281341147397,0.6823014569275345,0.5676053346941222,0.5926269512687218,1.0,0.35101608168328396,0.10637664012517654,0.27447773001095527,0.2514587033304956,0.15763975976683908,0.32202723970614056,0.2920322643143551,0.3148462776315151,0.3694570879949392,0.42773974524722036
