,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,base,alpha_vs_base_ann,t_alpha_vs_base
ALL_static_gross,2007-05-01,2026-06-30,5001,0.045053813212328125,0.07577405444713999,2.27845528863418e-05,-0.7062110164135879,8.174236572631429,0.5945810019148136,-0.1789396083443504,0.007242076672130353,0.014115682200172947,0.011588843256327017,0.01955888223639046,0.5440911817636472,0.038447550293544276,-0.05042399238535136,-0.00019350823338634568,0.0430756640283243,0.8177971421527371,0.2407273852160765,0.3463794131319759,0.3505007718028914,,,,
ALL_static_net,2007-05-01,2026-06-30,5001,0.034497345877162675,0.0757877061365241,2.2792763497762423e-05,-0.7025869795038238,8.143200666811433,0.45518392937001023,-0.18231293216622657,0.007249080801903847,0.014115682200172947,0.01164053559666795,0.01955888223639046,0.5384923015396921,0.038447550293544276,-0.05042399238535136,-0.0025382204242188123,0.03212282014703627,0.6227430097029247,0.17619605897045088,0.22917714981096823,0.3505007718028914,0.010556467335165465,,,
ALL_voltgt_gross,2007-05-01,2026-06-30,5001,0.07029004560222012,0.11184804136915838,4.9642795071892706e-05,-0.65215157306325,4.579733719813256,0.6284423467928719,-0.2678294999211406,0.010594454202481727,0.021711195215249522,0.017392479812147938,0.029185601642047237,0.5440911817636472,0.04132775344824964,-0.04905954467828443,0.010658595134984216,0.06610270482031888,0.8607033865306162,0.24680890208054784,0.49730352064917155,0.6754702284294828,,ALL_static_gross,0.008374231079074557,0.8824748435012819
ALL_voltgt_net,2007-05-01,2026-06-30,5001,0.05214343433645578,0.1119142098626392,4.9701549084043035e-05,-0.6480046211041329,4.5434987215595175,0.46592326747832447,-0.29318494205516343,0.0106611582472443,0.021880182396760452,0.01749253185403459,0.02919874578407466,0.5382923415316937,0.04132775344824964,-0.04905954467828443,0.007721205573921591,0.046927046651773496,0.6341168503826068,0.1600595389477542,0.33764151945240606,0.6754702284294828,0.018146611265764313,ALL_static_net,0.0047057702069390915,0.5051649891795471
ALL_vix_gross,2007-05-01,2026-06-30,5001,0.06379993706600187,0.1032964404457,4.234188336806367e-05,-0.6776540423292727,4.87783060265296,0.6176392602757661,-0.2315799488052529,0.009910398010604914,0.020232246195378462,0.016227097248864324,0.02702060654081002,0.5440911817636472,0.03567132224587765,-0.04905954467828443,0.01187368131890705,0.06018560246954774,0.8453000305683451,0.25989125043015193,0.45471528635087294,0.7183237586804417,,ALL_voltgt_gross,0.00040430992782373293,0.07524515872245513
ALL_vix_net,2007-05-01,2026-06-30,5001,0.04560819489069474,0.10336459956704155,4.239777953831288e-05,-0.6752552194574466,4.8382604173730455,0.4412361203132566,-0.24932124067865347,0.00998581179407558,0.020232246195378462,0.01632322604865044,0.02705711701533357,0.5372925414917017,0.03567132224587765,-0.04905954467828443,0.008572483721395062,0.041069354152291515,0.5996778136346651,0.16472465017621668,0.28931979249497625,0.7183237586804417,0.01819174217530713,ALL_voltgt_net,-0.001422455528919852,-0.268543644272017
ALL_rrccy_gross,2007-05-01,2026-06-30,5001,0.06670909715502632,0.10646722933747645,4.498123382063017e-05,-0.6065767284655427,4.348402785005762,0.6265692980848965,-0.24970337598507986,0.010055478856278686,0.0205173847958741,0.016412847321091713,0.027139139712399514,0.5396920615876825,0.03567132224587765,-0.04905954467828443,0.0046333601542934205,0.06292067081820729,0.8630258882772465,0.25198165851777227,0.45492643749918227,0.6941023598665144,,ALL_voltgt_gross,0.0008796477826037535,0.1769998517777249
ALL_rrccy_net,2007-05-01,2026-06-30,5001,0.04865077368519671,0.10653184029388117,4.5035845223813504e-05,-0.6037066453250508,4.313551263279454,0.4566782433400904,-0.2762329318436765,0.01020131410292451,0.0205173847958741,0.016513176455506765,0.027175650186923056,0.5326934613077384,0.03567132224587765,-0.04905954467828443,0.0013387007976830118,0.043894710986544405,0.6247998184336002,0.15890469935490872,0.2996948873805199,0.6941023598665144,0.018058323469829596,ALL_voltgt_net,-0.00018435475849100895,-0.03759778401702912
ALL_reg_half_gross,2007-05-01,2026-06-30,5001,0.06967725462890463,0.10943015917730847,4.7519681498297895e-05,-0.6024629019665619,4.398952912938416,0.6367280752649491,-0.27606297832762206,0.010374827921610822,0.021108866191726267,0.017017286577551208,0.028102226173823762,0.5440911817636472,0.04132775344824964,-0.04905954467828443,0.013938925888438853,0.06573748479543351,0.8748367809867816,0.23812495682567955,0.4928908153391707,0.6879208320558202,,ALL_voltgt_gross,0.0013916244601347555,0.504525529014143
ALL_reg_half_net,2007-05-01,2026-06-30,5001,0.051435646623562446,0.1094968484059256,4.7577618296945444e-05,-0.599004762638815,4.365088847909727,0.46974545269906526,-0.30177560791462055,0.01045872502249065,0.021509605591711056,0.01711700343024679,0.028127180688861452,0.5382923415316937,0.04132775344824964,-0.04905954467828443,0.010883848918547089,0.046469073091448765,0.6411646566380892,0.15398551729401525,0.33205315138218794,0.6879208320558202,0.018241608005342184,ALL_voltgt_net,0.0007785874129275343,0.28986955104895645
ALL_reg_off_gross,2007-05-01,2026-06-30,5001,0.06906446365558915,0.10861326884190106,4.6812865748107445e-05,-0.6004907721921308,4.562119540784834,0.635875012252143,-0.2843092256001952,0.010238167013895877,0.021058382603667634,0.01689523339985228,0.028065215928105153,0.5156968606278745,0.04132775344824964,-0.04905954467828443,0.01489402410111176,0.06518000509184296,0.8746627047812134,0.22925743951587832,0.48174059914504863,0.7032019308380915,,ALL_voltgt_gross,0.0027832489202693042,0.504525529014106
ALL_reg_off_net,2007-05-01,2026-06-30,5001,0.05064373564664644,0.10868413939858577,4.687397681274295e-05,-0.5969865361442452,4.526490913980349,0.46597172252444985,-0.3103984637669839,0.010259059387092973,0.021108866191726267,0.016996393987656393,0.028091160317418495,0.5102979404119176,0.04132775344824964,-0.04905954467828443,0.011796985235081929,0.04573391955583639,0.6366747483975453,0.1473393875756062,0.32119470868508754,0.7032019308380915,0.018420728008942712,ALL_voltgt_net,0.0014759867103621813,0.27443706296844655
ALL_reg_mod_gross,2007-05-01,2026-06-30,5001,0.06590736234290348,0.10060742840673823,4.016608988340062e-05,-0.6733575227147288,5.096557758497795,0.655094393988996,-0.2309790740758253,0.009666086808646395,0.019739103897659746,0.015702849919576455,0.026397584023660974,0.5156968606278745,0.03567132224587765,-0.04905954467828443,0.023341681034024345,0.06271426698877591,0.9001333022305872,0.2715149293922107,0.4714489218194036,0.6793457196397524,,ALL_voltgt_gross,0.005901719774766299,0.8290094925931196
ALL_reg_mod_net,2007-05-01,2026-06-30,5001,0.04862802176380091,0.10066904334049978,4.0215302726553264e-05,-0.6732458266670646,5.0593395180142124,0.48304841439014207,-0.25569264117119184,0.00973102364001522,0.019739103897659746,0.015793415380085992,0.026434094498184523,0.5100979804039192,0.03567132224587765,-0.04905954467828443,0.020466244556447286,0.04450588246662601,0.6590644348514987,0.17406008347666269,0.31527190945669575,0.6793457196397524,0.01727934057910256,ALL_voltgt_net,0.004110317543819051,0.5885709416111761
