,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,info_ratio
AUD,2007-01-02,2026-06-30,5079,0.007356082523154752,0.12387817849771271,6.089604407901258e-05,-0.35459140636114217,10.573390474152179,0.05938158449182053,-0.446676134076207,0.011866999569609531,0.021375068560510208,0.01840147038496762,0.031548535468923375,0.5166371332939556,0.08282894111027211,-0.07282532199539257,-0.0377658339068434,0.10876073353832709
CAD,2007-01-02,2026-06-30,5079,-0.01014066537547295,0.0864270381048592,2.964140045864597e-05,-0.09271286460653297,3.443577892690626,-0.1173320941898946,-0.3982199916270811,0.008628122631591323,0.015362287041565998,0.012832530442159385,0.020307890495759186,0.4908446544595393,0.039972837962023174,-0.03250019412313805,-0.029129996158779318,-0.14076992381603892
CHF,2007-01-02,2026-06-30,5079,0.0006227921324629074,0.10323346775062336,4.229027326912299e-05,4.883865471489056,164.9912715701524,0.006032851032064132,-0.4462794656736929,0.00895658034468126,0.014671816663042365,0.012928402833021248,0.020423057238238104,0.4802126402835204,0.19380757601491863,-0.0909630874983335,-0.021124369515435223,0.026116696148367185
DKK,2007-01-02,2026-06-30,5077,-0.017163537251194,0.08732536956213756,3.0260794322078962e-05,0.11515237089667082,2.499703794898863,-0.19654697526336892,-0.4939392993955867,0.008532536326216885,0.015159921106955434,0.012472604054317184,0.01807741553812829,0.4959621823911759,0.03503911757647315,-0.024399300880034613,0.009617428012954624,-0.29210095476140524
EUR,2007-01-02,2026-06-30,5079,-0.016548692828482422,0.08742639323582528,3.033085013581411e-05,0.10714223382469834,2.4605704504071197,-0.1892871502069601,-0.4923986347856132,0.008605891705287834,0.015179815296414823,0.012501599934108109,0.018097389504987085,0.4971451073045875,0.034510902009672426,-0.024298698310957118,0.008881678675476106,-0.2724174106653096
GBP,2007-01-02,2026-06-30,5079,-0.020127359481950425,0.09265291946846405,3.406572811916541e-05,-0.8140007034832566,11.257165055003552,-0.21723394791462675,-0.5323515287322214,0.009098148268089164,0.01587849410278293,0.013580623929310271,0.02252566673265007,0.4999015554242961,0.03099541134313447,-0.08396373961939112,0.04116855176424291,-0.2693972858983885
HKD,2007-01-02,2026-06-30,5074,-0.005611718973823119,0.006182144132256967,1.5166232568253667e-07,0.9229234833727524,13.02359854993691,-0.9077302071529675,-0.10679837529300706,0.0005811894628554069,0.0011156190938580606,0.0009183118863006302,0.001508619637929053,0.4389042175798187,0.003955034294834108,-0.002672867554301175,0.020498265427251403,-0.07609242679829012
JPY,2007-01-02,2026-06-30,5079,-0.03599264512641218,0.09847614854447077,3.848234854028838e-05,0.1580427068120282,4.977158765321741,-0.365496068422683,-0.6831941963953234,0.009493043675498582,0.016887090937378283,0.01399718005545692,0.022118247698113037,0.47529041149832646,0.03835316390881882,-0.05513698614759596,-0.027776540523760083,-0.32173266359632224
NOK,2007-01-02,2026-06-30,5073,-0.01848353687159606,0.12437260666826078,6.138311622800756e-05,-0.33502659854313294,4.335468194248353,-0.14861421149511825,-0.5900500595288571,0.012701351164362568,0.02116718634245291,0.018528227091629004,0.028218313433941183,0.5020697811945595,0.049848773039110006,-0.07255983099957085,-0.00998920879221224,-0.20489695420254553
NZD,2007-01-02,2026-06-30,5079,0.005010760706275165,0.12227813479763859,5.933310416503759e-05,-0.2875223739809028,3.447871748626578,0.04097838681108122,-0.38094322680684867,0.012237160598694528,0.021025947817682748,0.017983023383240274,0.028167847893303267,0.5103366804489072,0.04345463864945211,-0.0672139722455727,-0.0046202006617787695,0.0792944268515697
