,first_date,n_months,stressed_share,months_above_50,months_above_90
MS-book|insample,2007-05-31,230,0.03169203730397158,0.030434782608695653,0.013043478260869565
MS-book|filtered,2007-05-31,230,0.02779783761392182,0.021739130434782608,0.013043478260869565
MS-book|realtime,2012-05-31,170,0.16880264542109452,0.09411764705882353,0.0
MS-equity|insample,2007-02-28,233,0.4944738348117083,0.4892703862660944,0.2575107296137339
MS-equity|filtered,2007-02-28,233,0.49441974288066176,0.44635193133047213,0.21030042918454936
MS-equity|realtime,2012-02-29,173,0.3952560377801285,0.3583815028901734,0.15606936416184972
MS-fxvol|insample,2007-02-28,233,0.022472744213594714,0.017167381974248927,0.017167381974248927
MS-fxvol|filtered,2007-02-28,233,0.021830587561599283,0.012875536480686695,0.012875536480686695
MS-fxvol|realtime,2012-02-29,173,0.00926957661531611,0.005780346820809248,0.005780346820809248
Vol-rank|insample,2007-01-31,234,0.5021367521367521,0.5,0.10256410256410256
Vol-rank|realtime,2009-12-31,199,0.4089650493553542,0.36683417085427134,0.05527638190954774
Logit|insample,2007-07-31,228,0.43421058251009204,0.29385964912280704,0.0
Logit|realtime,2012-07-31,168,0.4455833282378299,0.31547619047619047,0.0
