model,information,net_sharpe,gross_sharpe,max_dd,ann_return,turnover,avg_gross_notional,vs_baseline
MS-book,insample,0.584826204701943,0.7552555692423794,-0.2294709596234732,0.0624817093481453,0.6872995937153115,3.156335484262858,0.11890293722362039
MS-book,filtered,0.5079880441364238,0.6772443911088629,-0.2534321270174438,0.055014376517950984,0.6898255199774821,3.170319641508685,0.04206477665810121
MS-book,realtime,0.302178236873322,0.4842563580702905,-0.3540615436016167,0.030782128424950806,0.7488291903296173,2.818290400204865,-0.16374503060500062
MS-equity,insample,0.5082733768865885,0.6610641062796171,-0.21344830329714526,0.035655502535049975,0.4531408089099911,1.7732052630510549,0.042350109408265835
MS-equity,filtered,0.32222348156537345,0.4900872064436925,-0.20219862704712632,0.022900045242291018,0.5251942633120151,1.7706804496416395,-0.14369978591294919
MS-equity,realtime,0.2695054132768692,0.43252128846143534,-0.2496611829507107,0.024316383622959833,0.6042371300874452,2.329922127707375,-0.1964178542014534
MS-fxvol,insample,0.5637769198008252,0.7329308523281868,-0.24568242443580912,0.06089006738688703,0.6850260582162925,3.182226047723233,0.0978536523225026
MS-fxvol,filtered,0.5133575239369577,0.6823344090936607,-0.2579830640396734,0.05572129787858195,0.6884123073955718,3.1847339911461643,0.04743425645863503
MS-fxvol,realtime,0.46292724240494953,0.6278842539235145,-0.29181296773737897,0.05156410661058852,0.6826132316427378,3.21555110992558,-0.0029960250733730986
Vol-rank,insample,0.44937232229940227,0.6129269445971347,-0.28278846953741277,0.029421666578301964,0.426847502459256,1.7394106784407193,-0.016550945178920362
Vol-rank,realtime,0.31149102712698595,0.4791251983027981,-0.2838243279639694,0.025732299894551405,0.5521582065736065,2.1695263843313035,-0.15443224035133668
Logit,insample,0.598519527425923,0.7705480235854402,-0.16659051231546196,0.03822551645201403,0.3997834569540305,1.821937396588113,0.13259625994760033
Logit,realtime,0.38726974270787873,0.5481736297421014,-0.23587820690858097,0.03125412596148933,0.4875643602943223,2.138327222636955,-0.0786535247704439
