structure,timing,drag % of capital,months paid,share of book return,unit cost vs always
outright 25d put,always,9.177792936562588,1.0,1.7601051893404038,1.0
outright 25d put,when MS-book says so,1.1722200755626198,0.12476717270254813,0.22480684106821014,1.0236949617542777
outright 25d put,when MS-equity says so,2.8267562404078874,0.2973012805911401,0.5421116342602684,1.0359846593680253
outright 25d put,when MS-fxvol says so,0.1131606083380387,0.006972333714998639,0.021701794248508825,1.7683932676131437
outright 25d put,when Vol-rank says so,3.3852436427954227,0.35384367313789344,0.6492176217147763,1.0424140140708624
outright 25d put,when Logit says so,2.848879315772575,0.32546956149545836,0.5463543688722501,0.9537299435158539
25/10 put spread,always,5.73182331853096,1.0,1.099241619097502,1.0
25/10 put spread,when MS-book says so,0.7222823785327557,0.12476717270254813,0.13851837488728286,1.0099825975463081
25/10 put spread,when MS-equity says so,1.7481492103914105,0.2973012805911401,0.3352577812791307,1.0258619540867353
25/10 put spread,when MS-fxvol says so,0.0706943282635889,0.006972333714998639,0.013557666303188585,1.7689420743285502
25/10 put spread,when Vol-rank says so,2.113220089201763,0.35384367313789344,0.4052705994711073,1.041934698201524
25/10 put spread,when Logit says so,1.7717835221463913,0.32546956149545836,0.3397903388399697,0.949746025107483
