variant,window_set,window,start,end,n_months,cum_return,max_drawdown,worst_month,hit_rate,cost_vol_pts
carry,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,16,0.2391575666316179,-0.08414911734920871,-0.0635853779990404,0.6875,0.0
short_vol,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,13,0.17444746406056644,-0.0441689873635287,-0.062081381673420796,0.7692307692307693,0.0
vrp_xs,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,13,0.5399852346860641,-0.028252493871824602,-0.01911812456397085,0.8461538461538461,0.0
carry+short_vol,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,7,0.04424144203709912,-0.06310835897338285,-0.06310835897338285,0.8571428571428571,0.0
carry,ERAS,GFC 2008-09,2008-09-01,2009-06-30,10,-0.05913114035562317,-0.07539353827114659,-0.07971806898957068,0.7,0.0
short_vol,ERAS,GFC 2008-09,2008-09-01,2009-06-30,10,-0.06746083457954943,-0.08828865904173477,-0.10572083600232027,0.8,0.0
vrp_xs,ERAS,GFC 2008-09,2008-09-01,2009-06-30,10,0.40370471797382423,0.0,0.0064699035561125405,1.0,0.0
carry+short_vol,ERAS,GFC 2008-09,2008-09-01,2009-06-30,10,-0.08097432002796845,-0.05602148008319641,-0.09823585766997305,0.7,0.0
carry,ERAS,recovery 2009-11,2009-07-01,2011-06-30,24,0.0636320508769983,-0.06010063894837825,-0.03778966973414544,0.4166666666666667,0.0
short_vol,ERAS,recovery 2009-11,2009-07-01,2011-06-30,24,0.6002000527300748,-0.17967891258116786,-0.17967891258116786,0.875,0.0
vrp_xs,ERAS,recovery 2009-11,2009-07-01,2011-06-30,24,0.875340431680885,-0.02216013826951657,-0.02020835147304618,0.8333333333333334,0.0
carry+short_vol,ERAS,recovery 2009-11,2009-07-01,2011-06-30,24,0.543405014574952,-0.10174462597979028,-0.10174462597979027,0.7083333333333334,0.0
carry,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,18,-0.0509508740301412,-0.1291107061239779,-0.052993515517237855,0.4444444444444444,0.0
short_vol,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,18,0.6364528274509293,-0.09993591723594575,-0.09332044114422842,0.8888888888888888,0.0
vrp_xs,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,18,0.5440556112085997,-0.013481749583015068,-0.013481749583015021,0.7777777777777778,0.0
carry+short_vol,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,18,0.2708696193125999,-0.11020220691030091,-0.09549509837348052,0.7222222222222222,0.0
carry,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,48,0.11708330556171864,-0.1666830321116617,-0.05077294354854833,0.5208333333333334,0.0
short_vol,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,48,0.4073480023067999,-0.23052656324298326,-0.17916474106112035,0.75,0.0
vrp_xs,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,48,0.8480233639948678,-0.21915199172798538,-0.08337427790715271,0.6875,0.0
carry+short_vol,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,48,0.4564394888611474,-0.16126724644961687,-0.10712993853120602,0.75,0.0
carry,ERAS,calm 2017-19,2017-01-01,2019-12-31,36,0.05919007406118659,-0.14213498903634225,-0.11180464190681605,0.5555555555555556,0.0
short_vol,ERAS,calm 2017-19,2017-01-01,2019-12-31,36,0.8226888492844082,-0.08745944500283298,-0.08745944500283301,0.6944444444444444,0.0
vrp_xs,ERAS,calm 2017-19,2017-01-01,2019-12-31,36,0.05702075536075024,-0.1060127294088834,-0.08473780106624847,0.5555555555555556,0.0
carry+short_vol,ERAS,calm 2017-19,2017-01-01,2019-12-31,36,0.3776733869222273,-0.12707122851300157,-0.12707122851300154,0.75,0.0
carry,ERAS,covid 2020,2020-01-01,2020-12-31,12,-0.16307177784805726,-0.2183245814758794,-0.13976777909876859,0.5,0.0
short_vol,ERAS,covid 2020,2020-01-01,2020-12-31,12,-0.13977041701906112,-0.22638541751200858,-0.21760012858716116,0.75,0.0
vrp_xs,ERAS,covid 2020,2020-01-01,2020-12-31,12,0.24392407817218587,-0.009557754023921006,-0.009557754023921063,0.75,0.0
carry+short_vol,ERAS,covid 2020,2020-01-01,2020-12-31,12,-0.13992951053238722,-0.18032764104655408,-0.14978848870079392,0.5,0.0
carry,ERAS,tightening 2021-23,2021-01-01,2023-12-31,36,0.24723285708188403,-0.15587841687668647,-0.10032574481368017,0.6111111111111112,0.0
short_vol,ERAS,tightening 2021-23,2021-01-01,2023-12-31,36,0.9981646192443938,-0.0573874950087806,-0.04371359957130159,0.75,0.0
