book,rule,basis,tail_rule,sharpe,sharpe_base,d_sharpe,max_drawdown,maxdd_base,d_maxdd_pp,cvar99,cvar99_base,d_cvar99_rel,calmar,calmar_base,d_calmar,alpha_ann,t_alpha,verdict_sharpe_old,adopted_on_sharpe,verdict_tail_new,flipped,note,source,row,baseline_row,rule_sharpe_budget,rule_maxdd_gain_pp,rule_cvar_gain_rel
ALL,Vol targeting (vs static),net,False,0.4659232674783244,0.4551839293700102,0.010739338108314234,-0.2931849420551634,-0.1823129321662265,-11.08720098889369,0.0291987457840746,0.0195588822363904,0.492863724581801,0.1600595389477542,0.1761960589704508,-0.016136520022696582,0.004705770206939,0.5051649891795471,adopt as sizing standard — no alpha claim,True,n/a — not a tail rule,False,"NOT A TAIL RULE — the sizing standard. It levers a 7.6%-vol static book to the 10% target, so its deeper MaxDD is the target working, not a tail failure. Comparing drawdowns across books held at different vol is outside what the desk's objective means. Shown for completeness and excluded from the flip count.",cesare/outputs/stage3_dynamic_comparison.csv,ALL_voltgt_net,ALL_static_net,0.02,1.0,0.05
ALL,VIX threshold (Stage 3 rule),net,True,0.4412361203132566,0.4659232674783244,-0.024687147165067813,-0.2493212406786534,-0.2931849420551634,4.386370137650997,0.0270571170153335,0.0291987457840746,-0.07334660141152954,0.1647246501762166,0.1600595389477542,0.0046651112284623875,-0.0014224555289198,-0.268543644272017,tail-insurance-only,False,REJECT,False,"DIFFERENT RULE from Dafu's percentile gate — a level threshold, not a trailing-percentile gate. Do not merge the two numbers (§19.3).",cesare/outputs/stage3_dynamic_comparison.csv,ALL_vix_net,ALL_voltgt_net,0.02,1.0,0.05
ALL,"IV/RR binary, book-level",net,True,0.3689634468432533,0.4659232674783244,-0.09695982063507114,-0.313398421733747,-0.2931849420551634,-2.021347967858361,0.027779630035732,0.0291987457840746,-0.04860194197507633,0.1058515695433691,0.1600595389477542,-0.054207969404385103,-0.008786958393006,-1.6845193849821858,combined REJECT,False,REJECT,False,,cesare/outputs/stage3_dynamic_comparison.csv,ALL_ivrr_net,ALL_voltgt_net,0.02,1.0,0.05
ALL,IV/RR linear ramp,net,True,0.45037783635605,0.4659232674783244,-0.015545431122274411,-0.3054805858187261,-0.2931849420551634,-1.2295643763562736,0.0282055475632525,0.0291987457840746,-0.03401509873632317,0.1419777451314531,0.1600595389477542,-0.018081793816301123,-0.0012445894349339,-0.4082583347316479,dominated — reject,False,REJECT,False,,cesare/outputs/stage3_dynamic_comparison.csv,ALL_ivrr_lin_net,ALL_voltgt_net,0.02,1.0,0.05
ALL,Per-currency RR (longs only),net,True,0.4566782433400904,0.4659232674783244,-0.009245024138234026,-0.2762329318436765,-0.2931849420551634,1.69520102114869,0.027175650186923,0.0291987457840746,-0.06928707185275823,0.1589046993549087,0.1600595389477542,-0.0011548395928455135,-0.000184354758491,-0.0375977840170291,tail-insurance-only — preferred,False,ACCEPT,True,Breaks dollar-neutrality by design (mean net FX exposure -0.10). The long-USD tilt in crises IS the hedge; report it as an exposure.,cesare/outputs/stage3_dynamic_comparison.csv,ALL_rrccy_net,ALL_voltgt_net,0.02,1.0,0.05
G10,VIX threshold (Stage 3 rule),net,True,0.0519463587820581,0.1191328870708638,-0.0671865282888057,-0.3485857149799342,-0.3823243407735155,3.3738625793581334,0.0274640399773756,0.0315835716005142,-0.13043273494348975,-1.988372902934264e-06,0.0185264811374859,-0.018528469510388834,-0.0065843776325247,-1.1539076649545166,tail-insurance-only,False,REJECT,False,"DIFFERENT RULE from Dafu's percentile gate — a level threshold, not a trailing-percentile gate. Do not merge the two numbers (§19.3).",cesare/outputs/stage3_dynamic_comparison.csv,G10_vix_net,G10_voltgt_net,0.02,1.0,0.05
G10,"IV/RR binary, book-level",net,True,0.0804788937074095,0.1191328870708638,-0.03865399336345429,-0.3099709943665821,-0.3823243407735155,7.235334640693342,0.0264069746431466,0.0315835716005142,-0.16390156955153606,0.009845872723146,0.0185264811374859,-0.008680608414339899,-0.0033749130938239,-0.5637070959304024,G10 tail-insurance-only,False,REJECT,False,,cesare/outputs/stage3_dynamic_comparison.csv,G10_ivrr_net,G10_voltgt_net,0.02,1.0,0.05
G10,IV/RR linear ramp,net,True,0.1085177930159227,0.1191328870708638,-0.010615094054941099,-0.3619886448778336,-0.3823243407735155,2.0335695895681907,0.0285833806795671,0.0315835716005142,-0.09499213575003831,0.016247186498749,0.0185264811374859,-0.002279294638736898,-0.0009382520448751,-0.2375604779450146,dominated — reject,False,ACCEPT,True,,cesare/outputs/stage3_dynamic_comparison.csv,G10_ivrr_lin_net,G10_voltgt_net,0.02,1.0,0.05
G10,Per-currency RR (longs only),net,True,0.1161495987378352,0.1191328870708638,-0.0029832883330285914,-0.3368868996395048,-0.3823243407735155,4.543744113401072,0.0292856561788132,0.0315835716005142,-0.07275666763614495,0.019932514489486,0.0185264811374859,0.0014060333520001002,5.490747098113174e-05,0.0096053760254983,tail-insurance-only — preferred,False,ACCEPT,True,Breaks dollar-neutrality by design (mean net FX exposure -0.10). The long-USD tilt in crises IS the hedge; report it as an exposure.,cesare/outputs/stage3_dynamic_comparison.csv,G10_rrccy_net,G10_voltgt_net,0.02,1.0,0.05
ALL,Regime: Crisis -> 0.5,net,True,0.4697454526990652,0.4659232674783244,0.0038221852207407925,-0.3017756079146205,-0.2931849420551634,-0.8590665859457114,0.0281271806888614,0.0291987457840746,-0.03669901108552563,0.1539855172940152,0.1600595389477542,-0.00607402165373902,0.0007785874129275,0.2898695510489564,REJECT as replacement,False,REJECT,False,,cesare/outputs/stage6_regime_stats.csv,ALL_reg_half_net,ALL_voltgt_net,0.02,1.0,0.05
