window,basis,start,end,n_days,cum_return,ann_return,ann_vol,sharpe,max_drawdown,worst_day,hit_rate,cost_drag,share_pnl,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
gfc_2008,gross,2008-09-01,2009-06-30,217,-0.0416871277072437,-0.039425015040923994,0.1414777290563479,-0.2786658741548061,-0.17405470813793145,-0.04025119301876695,0.5345622119815668,0.021353211799687837,-0.024337777809318336,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
gfc_2008,net,2008-09-01,2009-06-30,217,-0.059131140355623946,-0.06077822684061183,0.14130503525965155,-0.43012074360216757,-0.17818964765856915,-0.04025119301876695,0.5161290322580645,0.021353211799687837,-0.05057679128587171,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
euro_2011,gross,2011-07-01,2012-12-31,392,-0.021158972285930555,-0.006699380894083592,0.11863170385158221,-0.05647209537228814,-0.17618655495335545,-0.04905954467828443,0.5153061224489796,0.019868832510356604,-0.007470850705952674,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
euro_2011,net,2011-07-01,2012-12-31,392,-0.05095087403014087,-0.026568213404440207,0.11861618390106639,-0.22398472561383212,-0.18963546719139324,-0.04905954467828443,0.5153061224489796,0.019868832510356604,-0.03993851673032586,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
taper_2013,gross,2013-05-01,2013-09-30,109,-0.1213086445929289,,,,-0.18704560075850685,-0.04031777309316834,0.48623853211009177,0.019032384847044927,-0.08880242157191856,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
taper_2013,net,2013-05-01,2013-09-30,109,-0.1285559057814608,,,,-0.19056745816094622,-0.04031777309316834,0.48623853211009177,0.019032384847044927,-0.1276622718017687,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
china_em_2015,gross,2015-06-01,2016-02-29,196,-0.04631902604762406,-0.05466462704933479,0.11238638983203475,-0.4863989948518937,-0.09805869380384757,-0.029101775774307753,0.5306122448979592,0.007507163007109273,-0.030479776716593625,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
china_em_2015,net,2015-06-01,2016-02-29,196,-0.05188478451008516,-0.062171790056444055,0.11253187472551728,-0.552481598730055,-0.09868561157876232,-0.029101775774307753,0.5255102040816326,0.007507163007109273,-0.04672969611326254,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
covid_2020,gross,2020-02-01,2020-04-30,64,-0.19044257310586532,,,,-0.23606288266495556,-0.03810552036060185,0.4375,0.027891600074519504,-0.14788732310731045,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
covid_2020,net,2020-02-01,2020-04-30,64,-0.19618650104557178,,,,-0.24037922999009376,-0.03810552036060185,0.4375,0.027891600074519504,-0.20619945568911735,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
rates_2022,gross,2022-01-01,2022-10-31,216,0.27789449583690384,0.29108270647232065,0.09864917140118645,2.950685771992402,-0.061553854247298534,-0.021880182396760452,0.6203703703703703,0.020748750560818006,0.17886257378546322,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
rates_2022,net,2022-01-01,2022-10-31,216,0.25543093829233166,0.2703339559115026,0.09828131016389728,2.7506140838037716,-0.0655638908629178,-0.021880182396760452,0.6157407407407407,0.020748750560818006,0.22392256715776454,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
oil_2026,gross,2026-02-01,2026-05-31,85,0.1094979055466383,,,,-0.017826055423339038,-0.01770198861377108,0.6470588235294118,0.023414739751940666,0.07553813158001774,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
oil_2026,net,2026-02-01,2026-05-31,85,0.10074865288869117,,,,-0.017826055423338927,-0.01770198861377108,0.6352941176470588,0.023414739751940666,0.09419417409653345,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
semis_2026,gross,2026-04-01,2026-06-30,65,0.12209194507905274,,,,-0.017826055423338816,-0.01770198861377108,0.676923076923077,0.01832156395377013,0.08330744966000185,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
semis_2026,net,2026-04-01,2026-06-30,65,0.11680426665541255,,,,-0.017826055423338705,-0.01770198861377108,0.6461538461538462,0.01832156395377013,0.10773267626564188,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
