feature,mean_coef,std_coef,sign_stability,n_folds,caveat
d_embi,-1.6896264806184897,0.24350070863025158,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
jpmvxy_em,-1.5604299976856386,0.21003882168612908,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
bfcius,-0.9927165020155452,0.6059055685842046,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
rr_xs_mean,0.8575427749798659,0.24370356520619219,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
vix,-0.7870082944175524,0.6766211855223287,0.6923076923076923,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
dxy_3m,0.7093914945284449,0.1686335846463409,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
book_ret_trailing,-0.6904611793554551,0.15712510341239913,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
move,0.5306523266987243,0.30249095883696947,0.8461538461538461,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
curve_2s10s,0.4933940930058772,0.3726379658347516,0.8461538461538461,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
d_jpmvxy_em,0.38319951262999175,0.1677301186248286,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
embi,-0.3668400452933914,0.2515784888479287,0.6923076923076923,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
d_ust2y,-0.346110208465154,0.1255332537096344,1.0,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
d_vix,0.3210953035384679,0.2436928836095445,0.6923076923076923,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
jpmvxy_g7,-0.1685684796042257,0.4403465801840979,0.23076923076923078,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
carry_dispersion,0.03504348929653058,0.4210815522031639,0.07692307692307693,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
book_vol_60d,-0.01069710853201655,0.3387196552195465,0.5384615384615384,13,"standardised L2 coefficients across purged folds; with 13 folds and 16 correlated risk features these are NOT stable and must not be read as an economic ranking — sign_stability is |mean sign|, 1.0 = never flips"
