,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,base,alpha_vs_base_ann,t_alpha_vs_base
G10_static_gross,2007-05-01,2026-06-30,4994,0.01697575352427174,0.08980694980726567,3.2005112038431486e-05,-0.7354032990562325,11.74371063144876,0.18902494250949772,-0.31658788160155094,0.008412664389968252,0.017281041805385457,0.014102810510210766,0.02515156774676617,0.5310372446936323,0.05709464356303166,-0.059109857841080735,-0.041274263460486765,0.013015727498482121,0.25486078613968,0.04111252595215684,0.3380295409755172,0.167387203083919,,,,
G10_static_net,2007-05-01,2026-06-30,4994,0.014406852738946926,0.08981403621222919,3.201016309814133e-05,-0.7350648064847071,11.73709366664642,0.16040758601365773,-0.3198472172641935,0.008455566174178114,0.017281041805385457,0.014114788616188345,0.0251529084515795,0.5298358029635563,0.05709464356303166,-0.059109857841080735,-0.04182957599366276,0.010416168319222097,0.21603731645318824,0.03256607454120306,0.3028750287366983,0.167387203083919,0.002568900785324812,,,
G10_voltgt_gross,2007-05-01,2026-06-30,4994,0.01926326219836568,0.11543232334281685,5.2875481239367533e-05,-0.9537969963085206,9.993779887971456,0.16687927298454053,-0.36533683919032567,0.011314939140168317,0.020469275118948662,0.017882910679192433,0.031562103629509744,0.5310372446936323,0.04938777147430669,-0.08548785581062575,-0.02906221403091451,0.012648756250369875,0.2224685935829694,0.03462217573897711,0.26940271836027946,0.37686012505494476,,G10_static_gross,-0.0005450744604049417,-0.05117223417255125
G10_voltgt_net,2007-05-01,2026-06-30,4994,0.0137556003794705,0.11546434169171316,5.2904818263097966e-05,-0.9524992463416856,9.971004653038946,0.11913288707086385,-0.3823243407735155,0.011314939140168317,0.02053924150463197,0.01790530735547977,0.03158357160051428,0.5290348418101722,0.04938777147430669,-0.08548785581062575,-0.03002854895899178,0.007083124687742304,0.1585290437047843,0.018526481137485996,0.2144780422971999,0.37686012505494476,0.005507661818895183,G10_static_net,-0.0030557786290326444,-0.2874948271791948
G10_vix_gross,2007-05-01,2026-06-30,4994,0.011847547606220634,0.10353094846996605,4.253435432972525e-05,-0.6708046089799591,6.587228354134065,0.11443484080180685,-0.315621043978373,0.010388204970366398,0.01912158361756911,0.01627306077319648,0.027415207216246563,0.5310372446936323,0.04938777147430669,-0.05297069604335761,-0.01402730260147691,0.0064937872829606835,0.1532701888265529,0.020574633430987737,0.20526682977621458,0.432806118676436,,G10_voltgt_gross,-0.004904042262215994,-0.8556749726946938
G10_vix_net,2007-05-01,2026-06-30,4994,0.005382050636120262,0.1036078516821699,4.259756718331157e-05,-0.6680816341914734,6.56152474838439,0.05194635878205812,-0.3485857149799342,0.010401090890743977,0.019238035646444385,0.016299336162336423,0.02746403997737563,0.5288346015218262,0.04938777147430669,-0.05297069604335761,-0.014776962816070665,-6.931183900160676e-07,0.06941417543255399,-1.988372902934264e-06,0.13760492299771726,0.432806118676436,0.0064654969701003736,G10_voltgt_net,-0.006584377632524771,-1.1539076649545166
G10_ivrr_gross,2007-05-01,2026-06-30,4994,0.014094116250146433,0.0992317409233572,3.9075152407461435e-05,-0.6778206211986466,7.272179532685207,0.1420323388363426,-0.30648194603601975,0.009949636246647043,0.01850972365220123,0.015642835116471538,0.026338184424021714,0.5310372446936323,0.04938777147430669,-0.05297069604335761,-0.0019345713986966097,0.009198946408403463,0.19070236506472027,0.03001464369233137,0.2295217365375229,0.4085623785483475,,G10_voltgt_gross,-0.0018172918048174128,-0.30164383491593766
G10_ivrr_net,2007-05-01,2026-06-30,4994,0.007992888950527945,0.0993165857819446,3.914200083881889e-05,-0.6753971047279299,7.244179024928239,0.08047889370740957,-0.30997099436658215,0.009965644048317408,0.01853742717326574,0.015669472540643915,0.026406974643146685,0.5286343612334802,0.04938777147430669,-0.05297069604335761,-0.002592397274443734,0.003051934958400393,0.10780792635372793,0.009845872723146062,0.1653940681577033,0.4085623785483475,0.006101227299618486,G10_voltgt_net,-0.003374913093823989,-0.5637070959304024
G10_ivrr_lin_gross,2007-05-01,2026-06-30,4994,0.017255494128238045,0.10608335982836967,4.465745727172759e-05,-0.8443609029921955,8.102614928210624,0.16265976262587642,-0.3421592530719071,0.010456914478234302,0.019238035646444385,0.016501624036030293,0.028533836963480393,0.5310372446936323,0.04938777147430669,-0.061684689609386695,-0.020608380552137342,0.011675016923306414,0.2173729557462729,0.03412158758966203,0.25623024600419486,0.3813594141101855,,G10_voltgt_gross,-0.00018466381606724292,-0.0464758536779657
G10_ivrr_lin_net,2007-05-01,2026-06-30,4994,0.011518413519682275,0.10614308676543194,4.4707757413071475e-05,-0.8418743214302653,8.07804521441264,0.10851779301592276,-0.36198864487783367,0.010499210618320216,0.019253142988502753,0.016525669905727406,0.028583380679567186,0.5288346015218262,0.04938777147430669,-0.061684689609386695,-0.02143239312215332,0.005881297023759613,0.14472945596267522,0.016247186498749077,0.1974165755738812,0.3813594141101855,0.005737080608555762,G10_voltgt_net,-0.0009382520448751607,-0.23756047794501461
