book,window,basis,start,end,n_days,cum_return,ann_return,ann_vol,sharpe,max_drawdown,worst_day,hit_rate,cost_drag,share_pnl
OFFENSIVE,gfc_2008,net,2008-09-01,2009-06-30,217,-0.093306467777441,-0.09116734026091768,0.2119575528894773,-0.4301207436021673,-0.25813532536315886,-0.06037678952815041,0.5161290322580645,0.03202981769953175,-0.051750548894751794
OFFENSIVE,euro_2011,net,2011-07-01,2012-12-31,392,-0.08113546089975632,-0.039680891508755554,0.17114796878123414,-0.2318513727701713,-0.25657775680208483,-0.07128885172894278,0.5153061224489796,0.027871690420454405,-0.04068960086729108
OFFENSIVE,taper_2013,net,2013-05-01,2013-09-30,109,-0.18290421727261075,,,,-0.25826079206289476,-0.051405379495157444,0.48623853211009177,0.02590935217459217,-0.12619851694604511
OFFENSIVE,china_em_2015,net,2015-06-01,2016-02-29,196,-0.08023092721220171,-0.09325768508466613,0.1687978120882759,-0.5524815987300553,-0.14500006874392635,-0.04365266366146162,0.5255102040816326,0.011260744510663905,-0.04781417251002677
OFFENSIVE,covid_2020,net,2020-02-01,2020-04-30,64,-0.2820123619330195,,,,-0.3403442709606259,-0.05715828054090278,0.4375,0.04142807848370162,-0.21091628938071535
OFFENSIVE,rates_2022,net,2022-01-01,2022-10-31,216,0.40221151210853834,0.40550093386725394,0.14742196524584597,2.7506140838037707,-0.09739404603815538,-0.032820273595140684,0.6157407407407407,0.031123125841227006,0.22911923563591718
OFFENSIVE,oil_2026,net,2026-02-01,2026-05-31,85,0.15232166844615058,,,,-0.026737406279391807,-0.02655298292065662,0.6352941176470588,0.033531148366358794,0.09562295227375177
OFFENSIVE,semis_2026,net,2026-04-01,2026-06-30,65,0.1531661424354025,,,,-0.026737406279391696,-0.02655298292065662,0.6461538461538462,0.023108259797446067,0.09522951702524987
BASELINE (reference),gfc_2008,net,2008-09-01,2009-06-30,217,-0.059131140355623946,-0.06077822684061183,0.14130503525965155,-0.43012074360216757,-0.17818964765856915,-0.04025119301876695,0.5161290322580645,0.021353211799687837,-0.05057679128587171
BASELINE (reference),euro_2011,net,2011-07-01,2012-12-31,392,-0.05095087403014087,-0.026568213404440207,0.11861618390106639,-0.22398472561383212,-0.18963546719139324,-0.04905954467828443,0.5153061224489796,0.019868832510356604,-0.03993851673032586
BASELINE (reference),taper_2013,net,2013-05-01,2013-09-30,109,-0.1285559057814608,,,,-0.19056745816094622,-0.04031777309316834,0.48623853211009177,0.019032384847044927,-0.1276622718017687
BASELINE (reference),china_em_2015,net,2015-06-01,2016-02-29,196,-0.05188478451008516,-0.062171790056444055,0.11253187472551728,-0.552481598730055,-0.09868561157876232,-0.029101775774307753,0.5255102040816326,0.007507163007109273,-0.04672969611326254
BASELINE (reference),covid_2020,net,2020-02-01,2020-04-30,64,-0.19618650104557178,,,,-0.24037922999009376,-0.03810552036060185,0.4375,0.027891600074519504,-0.20619945568911735
BASELINE (reference),rates_2022,net,2022-01-01,2022-10-31,216,0.25543093829233166,0.2703339559115026,0.09828131016389728,2.7506140838037716,-0.0655638908629178,-0.021880182396760452,0.6157407407407407,0.020748750560818006,0.22392256715776454
BASELINE (reference),oil_2026,net,2026-02-01,2026-05-31,85,0.10074865288869117,,,,-0.017826055423338927,-0.01770198861377108,0.6352941176470588,0.023414739751940666,0.09419417409653345
BASELINE (reference),semis_2026,net,2026-04-01,2026-06-30,65,0.11680426665541255,,,,-0.017826055423338705,-0.01770198861377108,0.6461538461538462,0.01832156395377013,0.10773267626564188
CORE,gfc_2008,net,2008-09-01,2009-06-30,217,-0.02491577374464038,-0.026896523094870676,0.06944377012085705,-0.38731369348267075,-0.05619836670705036,-0.015368902575235556,0.4976958525345622,0.016758416857612805,-0.026962914780074922
CORE,euro_2011,net,2011-07-01,2012-12-31,392,0.039850308158204006,0.029475964313318108,0.09345934063190124,0.3153881047525477,-0.08244125182442208,-0.018869669296462478,0.4897959183673469,0.016266251600736168,0.05337833854066497
CORE,taper_2013,net,2013-05-01,2013-09-30,109,-0.12351939129410472,,,,-0.17153683764506777,-0.03917692952905019,0.43119266055045874,0.014137450322267014,-0.14837304317261413
CORE,china_em_2015,net,2015-06-01,2016-02-29,196,0.0031673607723219366,0.008995613848071736,0.09932947796305831,0.09056338594085131,-0.06230576455761705,-0.028483668712735236,0.5204081632653061,0.0050459535442202745,0.008145126589573726
CORE,covid_2020,net,2020-02-01,2020-04-30,64,-0.04532352699241948,,,,-0.10267367173590514,-0.025264058234837104,0.5,0.022779221023958934,-0.05168731731216568
CORE,rates_2022,net,2022-01-01,2022-10-31,216,0.09242971220056417,0.10744655736268917,0.09286067992266031,1.1570726969927079,-0.05147337278403763,-0.018247407950140584,0.5185185185185185,0.012054196281135507,0.10721541202540917
CORE,oil_2026,net,2026-02-01,2026-05-31,85,0.014281904990556482,,,,-0.05252744381960994,-0.021172724511880084,0.5294117647058824,0.0068041883520717425,0.018872997036327208
CORE,semis_2026,net,2026-04-01,2026-06-30,65,0.05425414738163448,,,,-0.04712728819623602,-0.021172724511880084,0.5230769230769231,0.0088482475473501,0.06314862069007744
DEFENSIVE,gfc_2008,net,2008-09-01,2009-06-30,217,-0.02201009922412478,-0.024170843253492218,0.05795030734104016,-0.4170960321443288,-0.0533859118601373,-0.015368902575235556,0.4930875576036866,0.01253013640024086,-0.023673373056992617
DEFENSIVE,euro_2011,net,2011-07-01,2012-12-31,392,0.04918227926766727,0.03517761338907329,0.09300268601528269,0.3782429830391428,-0.08244125182442208,-0.018869669296462478,0.4897959183673469,0.01624905716484572,0.062238776229886474
