,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar
AUD,2007-01-02,2026-06-30,5079,-0.005696099785153693,0.12387410575474868,6.0892039986264516e-05,-0.36412107149550244,10.579941940630263,-0.04598297400774847,-0.49287944554088425,0.011891010112591147,0.021485802095375522,0.01848617686612652,0.031648005518725764,0.5117149045087616,0.08276574769364836,-0.07293689083640276,-0.03789162685806447,-0.013295929658131311,-0.06284988498248528,-0.02697602786730212
CAD,2007-01-02,2026-06-30,5079,-0.008937449242808962,0.08643282254918357,2.9645368308804182e-05,-0.09627379976877858,3.443020169438252,-0.10340341758159308,-0.40005080559173156,0.008622210357418517,0.015370792105686577,0.012837241706349128,0.02031156858682752,0.48789131718842293,0.039981291355067144,-0.03254040682796175,-0.029041915721282768,-0.012594136640011522,-0.14448625780491023,-0.031481343029376024
CHF,2007-01-02,2026-06-30,5079,0.02023268483002159,0.10322874434001564,4.228640340482662e-05,4.875482297409678,164.8563380399496,0.19599855601632638,-0.3332041766541247,0.00892456993233922,0.014622430554061268,0.012871105571233483,0.020373049726773954,0.4833628667060445,0.19383352651393318,-0.09088892747783567,-0.021173015912406598,0.015114693424125969,0.3076587022803657,0.0453616565551501
DKK,2007-01-02,2026-06-30,5077,-0.005996252766666791,0.08732934877458613,3.026355221187821e-05,0.10269729357939202,2.491067158218883,-0.06866251553237016,-0.4247971396385476,0.008513474014059951,0.015149979111295035,0.012459802948391569,0.01808470675512332,0.4995075832184361,0.034990909219178024,-0.02435787459762362,0.00967332096864092,-0.009759902006840737,-0.09721783749507446,-0.022975441913627916
EUR,2007-01-02,2026-06-30,5079,-0.006308823423897386,0.0874325231009352,3.0335103554744312e-05,0.09779753883313311,2.4566948629755125,-0.0721564836532769,-0.42671851770199354,0.008556748595278241,0.015140346150534783,0.012486155169523545,0.018098622787842064,0.4981295530616263,0.034505707054144685,-0.024338956253676547,0.008976693864607126,-0.01007837672390377,-0.10210205529684412,-0.023618325209271054
GBP,2007-01-02,2026-06-30,5079,-0.018908816642395968,0.09266450044978392,3.4074244617492074e-05,-0.8146420884115695,11.25369056389608,-0.2040567482759258,-0.523838401120189,0.009088146805011067,0.015864682291140637,0.013583306246380288,0.0225326236385989,0.49734199645599525,0.031033087510246304,-0.08395458606779932,0.04137355595233468,-0.022949925250289938,-0.2762601064271095,-0.0438110783806862
HKD,2007-01-02,2026-06-30,5075,-0.00034883554421133976,0.006158945444019442,1.5052622612066604e-07,0.9591651886595969,13.231716790086537,-0.05663884302629627,-0.013261978190700074,0.0005516802701324597,0.0010813185445817553,0.0008909973683564265,0.0014817860369912828,0.4587192118226601,0.00397340516760325,-0.0026633572738865574,0.01082295093849629,-0.0003677260981521657,-0.08503132875502831,-0.027727846695603273
JPY,2007-01-02,2026-06-30,5079,-0.016381559391184103,0.0984783785963611,3.8484091472096166e-05,0.16040673991020157,4.99174739137367,-0.16634676184432448,-0.5668336118945648,0.009402631956775131,0.01683072322674219,0.013922759368970902,0.022034795931523528,0.48040952943492815,0.0385694024039287,-0.05504245495003701,-0.027669844116501835,-0.02100455993039585,-0.23850926115514515,-0.03705595343965391
NOK,2007-01-02,2026-06-30,5077,-0.021780189499383342,0.12437086104477704,6.138139316277474e-05,-0.34075371351811595,4.3327311416763,-0.1751229292490132,-0.6151216779698345,0.012706043055905347,0.02114613316171626,0.018562362432271867,0.028264659671205297,0.5016742170573173,0.04970983211268276,-0.07255364442100687,-0.00969854686133621,-0.02909876140157075,-0.2391488323199462,-0.04730569973994275
NZD,2007-01-02,2026-06-30,5079,-0.009474181673399275,0.12229093038703473,5.934552244018481e-05,-0.29920655095144966,3.4590975244417668,-0.07747248012109104,-0.41282806555028295,0.01233994651548215,0.021155602448105434,0.01808429033687519,0.028275819676959687,0.5026580035440047,0.043243303209265394,-0.06739830944374503,-0.004427444218107652,-0.016820843553387865,-0.10648666040669826,-0.04074539731441555
