ticker,start,end,size
USDZAR25R3M Curncy,2007-01-01,2026-06-30,15252
USDZAR25R6M Curncy,2007-01-01,2026-06-30,15252
USDZAR25R1Y Curncy,2007-01-01,2026-06-30,15255
USDZAR25B1W Curncy,2007-01-01,2026-06-30,15249
USDZAR25B1M Curncy,2007-01-01,2026-06-30,15252
USDZAR25B3M Curncy,2007-01-01,2026-06-30,15252
USDZAR25B6M Curncy,2007-01-01,2026-06-30,15252
USDZAR25B1Y Curncy,2007-01-01,2026-06-30,15255
USDMXNV1W Curncy,2007-01-01,2026-06-30,15258
USDMXNV1M Curncy,2007-01-01,2026-06-30,15258
USDMXNV3M Curncy,2007-01-01,2026-06-30,15258
USDMXNV6M Curncy,2007-01-01,2026-06-30,15258
USDMXNV1Y Curncy,2007-01-01,2026-06-30,15258
USDMXN25R1W Curncy,2007-01-01,2026-06-30,15258
USDMXN25R1M Curncy,2007-01-01,2026-06-30,15258
USDMXN25R3M Curncy,2007-01-01,2026-06-30,15258
USDMXN10R1M Curncy,2007-01-01,2026-06-30,15258
USDMXN10R3M Curncy,2007-01-01,2026-06-30,15255
USDMXN10R6M Curncy,2007-01-01,2026-06-30,15255
USDMXN10R1Y Curncy,2007-01-01,2026-06-30,15255
USDMXN10B1W Curncy,2007-01-01,2026-06-30,15255
USDMXN10B1M Curncy,2007-01-01,2026-06-30,15255
USDMXN10B3M Curncy,2007-01-01,2026-06-30,15255
USDMXN10B6M Curncy,2007-01-01,2026-06-30,15255
USDMXN25R6M Curncy,2007-01-01,2026-06-30,15258
USDMXN25R1Y Curncy,2007-01-01,2026-06-30,15258
USDMXN25B1W Curncy,2007-01-01,2026-06-30,15258
USDMXN25B1M Curncy,2007-01-01,2026-06-30,15258
USDMXN25B3M Curncy,2007-01-01,2026-06-30,15258
USDMXN25B6M Curncy,2007-01-01,2026-06-30,15258
USDMXN25B1Y Curncy,2007-01-01,2026-06-30,15258
USDMXN10R1W Curncy,2007-01-01,2026-06-30,15252
USDMXN10B1Y Curncy,2007-01-01,2026-06-30,15255
USDZARV1W Curncy,2007-01-01,2026-06-30,15252
USDZARV1M Curncy,2007-01-01,2026-06-30,15255
USDZARV3M Curncy,2007-01-01,2026-06-30,15255
USDZARV6M Curncy,2007-01-01,2026-06-30,15255
USDZARV1Y Curncy,2007-01-01,2026-06-30,15258
USDZAR25R1W Curncy,2007-01-01,2026-06-30,15243
USDZAR25R1M Curncy,2007-01-01,2026-06-30,15252
USDBRL25B1Y Curncy,2007-01-02,2026-06-30,15156
