file,column
download_coverage_summary.csv,group
download_coverage_summary.csv,requested
download_coverage_summary.csv,fetched
download_coverage_summary.csv,missing
download_coverage_summary.csv,extra
download_coverage_summary.csv,csv_exists
em_fx_options_long.parquet,date
em_fx_options_long.parquet,ticker
em_fx_options_long.parquet,field
em_fx_options_long.parquet,value
em_fx_options_wide.parquet,USDBRL10B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10R3M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10R3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL10R6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL10R6M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL10R6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25R3M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25R3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRL25R6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRL25R6M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRL25R6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRLV1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRLV1M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRLV1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRLV1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRLV1W Curncy__PX_BID
em_fx_options_wide.parquet,USDBRLV1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRLV1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRLV1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDBRLV1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRLV3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRLV3M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRLV3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDBRLV6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDBRLV6M Curncy__PX_BID
em_fx_options_wide.parquet,USDBRLV6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10R3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10R3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH10R6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH10R6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH10R6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25R3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25R3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNH25R6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNH25R6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNH25R6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNHV1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNHV1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNHV1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNHV1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNHV1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNHV1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNHV1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNHV1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNHV1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNHV3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNHV3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNHV3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNHV6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNHV6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNHV6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10R3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10R3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY10R6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY10R6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY10R6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25R3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25R3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNY25R6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNY25R6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNY25R6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNYV1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNYV1M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNYV1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNYV1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNYV1W Curncy__PX_BID
em_fx_options_wide.parquet,USDCNYV1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNYV1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNYV1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDCNYV1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNYV3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNYV3M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNYV3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDCNYV6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDCNYV6M Curncy__PX_BID
em_fx_options_wide.parquet,USDCNYV6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10B1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10B1M Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10B1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10B1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10B1W Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10B1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10B1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10B1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10B1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10B3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10B3M Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10B3M Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10B6M Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10B6M Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10B6M Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10R1M Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10R1M Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10R1M Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10R1W Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10R1W Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10R1W Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10R1Y Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10R1Y Curncy__PX_BID
em_fx_options_wide.parquet,USDHUF10R1Y Curncy__PX_LAST
em_fx_options_wide.parquet,USDHUF10R3M Curncy__PX_ASK
em_fx_options_wide.parquet,USDHUF10R3M Curncy__PX_BID
