date,macro_risk_score,regime,total_regime_exposure,em_regime_multiplier,combined_regime_exposure
2007-02-28,,,,,
2007-03-31,,,,,
2007-04-30,,,,,
2007-05-31,,,,,
2007-06-30,,,,,
2007-07-31,,,,,
2007-08-31,,,,,
2007-09-30,,,,,
2007-10-31,,,,,
2007-11-30,,,,,
2007-12-31,,,,,
2008-01-31,,,,,
2008-02-29,,,,,
2008-03-31,,,,,
2008-04-30,,,,,
2008-05-31,,,,,
2008-06-30,,,,,
2008-07-31,,,,,
2008-08-31,,,,,
2008-09-30,,,,,
2008-10-31,,,,,
2008-11-30,,,,,
2008-12-31,,,,,
2009-01-31,,,,,
2009-02-28,,,,,
2009-03-31,,,,,
2009-04-30,,,,,
2009-05-31,,,,,
2009-06-30,,,,,
2009-07-31,,,,,
2009-08-31,,,,,
2009-09-30,,,,,
2009-10-31,,,,,
2009-11-30,,,,,
2009-12-31,,,,,
2010-01-31,,,,,
2010-02-28,-0.32708293204125793,neutral,1.0,1.0,1.0
2010-03-31,-0.1899956157993158,neutral,1.0,1.0,1.0
2010-04-30,0.32980956988402144,neutral,1.0,1.0,1.0
2010-05-31,1.5991965301213051,extreme_risk_off,0.5,0.25,0.7
2010-06-30,0.047596212822113515,neutral,1.0,1.0,1.0
2010-07-31,-0.8472670189945938,risk_on,1.0,1.0,1.0
2010-08-31,0.6004118734448466,risk_off,0.75,0.5,0.9
2010-09-30,-0.7133859609349799,risk_on,1.0,1.0,1.0
2010-10-31,-0.10725771655719202,neutral,1.0,1.0,1.0
2010-11-30,0.2806073192553298,neutral,1.0,1.0,1.0
2010-12-31,-0.6557030568714521,risk_on,1.0,1.0,1.0
2011-01-31,-0.24565368801556506,neutral,1.0,1.0,1.0
2011-02-28,-0.27673870190902666,neutral,1.0,1.0,1.0
2011-03-31,-0.19895862735635675,neutral,1.0,1.0,1.0
2011-04-30,-0.4614030787131531,neutral,1.0,1.0,1.0
2011-05-31,0.3213442621195432,neutral,1.0,1.0,1.0
2011-06-30,0.29313353097467965,neutral,1.0,1.0,1.0
2011-07-31,0.2820055064906004,neutral,1.0,1.0,1.0
2011-08-31,0.5419712066645989,risk_off,0.75,0.5,0.9
2011-09-30,1.381386645450938,extreme_risk_off,0.5,0.25,0.7
2011-10-31,-0.9318158913268839,risk_on,1.0,1.0,1.0
2011-11-30,0.13752388762184437,neutral,1.0,1.0,1.0
2011-12-31,-0.0436612692033376,neutral,1.0,1.0,1.0
2012-01-31,-0.6952568058201731,risk_on,1.0,1.0,1.0
2012-02-29,-0.28462146831721846,neutral,1.0,1.0,1.0
2012-03-31,-7.63794706158949e-05,neutral,1.0,1.0,1.0
2012-04-30,-0.12092105375978716,neutral,1.0,1.0,1.0
2012-05-31,1.3742339949048539,extreme_risk_off,0.5,0.25,0.7
2012-06-30,-0.5647789610438847,risk_on,1.0,1.0,1.0
2012-07-31,-0.06734644189230117,neutral,1.0,1.0,1.0
2012-08-31,-0.304253553913859,neutral,1.0,1.0,1.0
2012-09-30,-0.43565940272970044,neutral,1.0,1.0,1.0
2012-10-31,0.35965517018513715,neutral,1.0,1.0,1.0
2012-11-30,-0.35167601582667496,neutral,1.0,1.0,1.0
2012-12-31,0.19475920697267135,neutral,1.0,1.0,1.0
2013-01-31,-0.18803206296776911,neutral,1.0,1.0,1.0
2013-02-28,0.29254404637632136,neutral,1.0,1.0,1.0
2013-03-31,-0.08296345855329071,neutral,1.0,1.0,1.0
2013-04-30,-0.027983602386512735,neutral,1.0,1.0,1.0
2013-05-31,0.8125800057897989,risk_off,0.75,0.5,0.9
2013-06-30,0.4039699638880352,neutral,1.0,1.0,1.0
2013-07-31,-0.645178697768357,risk_on,1.0,1.0,1.0
2013-08-31,0.36532675197041203,neutral,1.0,1.0,1.0
2013-09-30,-0.4286438887235961,neutral,1.0,1.0,1.0
2013-10-31,-0.4473977003149968,neutral,1.0,1.0,1.0
2013-11-30,0.18076918838092418,neutral,1.0,1.0,1.0
2013-12-31,-0.02363641609126496,neutral,1.0,1.0,1.0
2014-01-31,0.3982476603194516,neutral,1.0,1.0,1.0
2014-02-28,-0.6604880099439963,risk_on,1.0,1.0,1.0
2014-03-31,0.10325886334792442,neutral,1.0,1.0,1.0
2014-04-30,-0.21873706903287027,neutral,1.0,1.0,1.0
2014-05-31,-0.19191174513273854,neutral,1.0,1.0,1.0
2014-06-30,-0.270003607225986,neutral,1.0,1.0,1.0
2014-07-31,0.6918424530250193,risk_off,0.75,0.5,0.9
2014-08-31,-0.09021541707661218,neutral,1.0,1.0,1.0
2014-09-30,0.9934927824726367,risk_off,0.75,0.5,0.9
2014-10-31,0.13152100431351912,neutral,1.0,1.0,1.0
2014-11-30,0.47416548135443537,neutral,1.0,1.0,1.0
2014-12-31,0.9823908785549034,risk_off,0.75,0.5,0.9
2015-01-31,0.5392060071008826,risk_off,0.75,0.5,0.9
2015-02-28,-0.7432201265857918,risk_on,1.0,1.0,1.0
2015-03-31,0.5877163001217363,risk_off,0.75,0.5,0.9
2015-04-30,-0.8147784416399921,risk_on,1.0,1.0,1.0
2015-05-31,0.22291529182430508,neutral,1.0,1.0,1.0
2015-06-30,0.22122163150360108,neutral,1.0,1.0,1.0
2015-07-31,-0.1415880119921381,neutral,1.0,1.0,1.0
2015-08-31,0.6433413091192648,risk_off,0.75,0.5,0.9
2015-09-30,0.18522718754293468,neutral,1.0,1.0,1.0
2015-10-31,-0.6018355794071321,risk_on,1.0,1.0,1.0
2015-11-30,0.5494693501660243,risk_off,0.75,0.5,0.9
2015-12-31,0.17490819968633203,neutral,1.0,1.0,1.0
2016-01-31,0.5250269826434836,risk_off,0.75,0.5,0.9
2016-02-29,0.06246948890964331,neutral,1.0,1.0,1.0
2016-03-31,-0.9792661015050974,risk_on,1.0,1.0,1.0
2016-04-30,-0.4444177256972468,neutral,1.0,1.0,1.0
2016-05-31,0.08616605294776872,neutral,1.0,1.0,1.0
2016-06-30,0.054194644447110224,neutral,1.0,1.0,1.0
2016-07-31,-0.21205283687018536,neutral,1.0,1.0,1.0
2016-08-31,0.1596034724976546,neutral,1.0,1.0,1.0
2016-09-30,-0.3397380862668311,neutral,1.0,1.0,1.0
2016-10-31,0.367573843534063,neutral,1.0,1.0,1.0
2016-11-30,0.08092779496058411,neutral,1.0,1.0,1.0
2016-12-31,-0.11903755209833704,neutral,1.0,1.0,1.0
2017-01-31,-0.39866348483113606,neutral,1.0,1.0,1.0
2017-02-28,-0.03642430330325781,neutral,1.0,1.0,1.0
2017-03-31,-0.18587456390080825,neutral,1.0,1.0,1.0
2017-04-30,-0.17933566967621314,neutral,1.0,1.0,1.0
2017-05-31,-0.24318786388362965,neutral,1.0,1.0,1.0
2017-06-30,0.19353523200203265,neutral,1.0,1.0,1.0
2017-07-31,-0.3260251104278259,neutral,1.0,1.0,1.0
2017-08-31,0.10870850447062917,neutral,1.0,1.0,1.0
2017-09-30,0.13000700599296836,neutral,1.0,1.0,1.0
2017-10-31,-0.1745555693968449,neutral,1.0,1.0,1.0
2017-11-30,-0.16787448114313172,neutral,1.0,1.0,1.0
2017-12-31,-0.2569065681796703,neutral,1.0,1.0,1.0
2018-01-31,0.16180784048566818,neutral,1.0,1.0,1.0
2018-02-28,0.6034407383627571,risk_off,0.75,0.5,0.9
2018-03-31,-0.0872109117831715,neutral,1.0,1.0,1.0
2018-04-30,-0.2914068635439979,neutral,1.0,1.0,1.0
2018-05-31,0.33136776926437517,neutral,1.0,1.0,1.0
2018-06-30,0.026817917736258426,neutral,1.0,1.0,1.0
2018-07-31,-0.023932834351652776,neutral,1.0,1.0,1.0
2018-08-31,0.2908410102704816,neutral,1.0,1.0,1.0
2018-09-30,-0.31185718725455525,neutral,1.0,1.0,1.0
2018-10-31,1.2006504239355777,risk_off,0.75,0.5,0.9
2018-11-30,0.0733894026429984,neutral,1.0,1.0,1.0
2018-12-31,0.7933510677811428,risk_off,0.75,0.5,0.9
2019-01-31,-1.169739046382095,risk_on,1.0,1.0,1.0
2019-02-28,-0.3645694221553144,neutral,1.0,1.0,1.0
2019-03-31,0.17686804898150837,neutral,1.0,1.0,1.0
2019-04-30,-0.4329514285985137,neutral,1.0,1.0,1.0
2019-05-31,1.0559092148477798,risk_off,0.75,0.5,0.9
2019-06-30,-0.5228635591446361,risk_on,1.0,1.0,1.0
2019-07-31,-0.032616208788752626,neutral,1.0,1.0,1.0
2019-08-31,0.9309672555449453,risk_off,0.75,0.5,0.9
2019-09-30,-0.33278543634172364,neutral,1.0,1.0,1.0
2019-10-31,-0.5967391026369323,risk_on,1.0,1.0,1.0
2019-11-30,-0.22870808031788936,neutral,1.0,1.0,1.0
2019-12-31,-0.3249455310023917,neutral,1.0,1.0,1.0
2020-01-31,0.8094212875025104,risk_off,0.75,0.5,0.9
2020-02-29,1.29922149553423,extreme_risk_off,0.5,0.25,0.7
2020-03-31,1.0053027400593604,risk_off,0.75,0.5,0.9
2020-04-30,-1.2260796672872138,risk_on,1.0,1.0,1.0
2020-05-31,-0.683960236124044,risk_on,1.0,1.0,1.0
2020-06-30,-0.23960480935082412,neutral,1.0,1.0,1.0
2020-07-31,-0.8244309616011881,risk_on,1.0,1.0,1.0
2020-08-31,-0.15156406635584313,neutral,1.0,1.0,1.0
