date,static_baseline,total_risk_scaling,em_trim,combined_defensive,macro_risk_score,regime,total_regime_exposure,em_regime_multiplier,combined_regime_exposure
2007-02-28,,,,,,,,,
2007-03-31,,,,,,,,,
2007-04-30,,,,,,,,,
2007-05-31,,,,,,,,,
2007-06-30,,,,,,,,,
2007-07-31,,,,,,,,,
2007-08-31,,,,,,,,,
2007-09-30,,,,,,,,,
2007-10-31,,,,,,,,,
2007-11-30,,,,,,,,,
2007-12-31,,,,,,,,,
2008-01-31,,,,,,,,,
2008-02-29,,,,,,,,,
2008-03-31,,,,,,,,,
2008-04-30,,,,,,,,,
2008-05-31,,,,,,,,,
2008-06-30,,,,,,,,,
2008-07-31,,,,,,,,,
2008-08-31,,,,,,,,,
2008-09-30,,,,,,,,,
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,,,,,,,,,
2009-01-31,,,,,,,,,
2009-02-28,,,,,,,,,
2009-03-31,,,,,,,,,
2009-04-30,,,,,,,,,
2009-05-31,,,,,,,,,
2009-06-30,,,,,,,,,
2009-07-31,,,,,,,,,
2009-08-31,,,,,,,,,
2009-09-30,,,,,,,,,
2009-10-31,,,,,,,,,
2009-11-30,,,,,,,,,
2009-12-31,,,,,,,,,
2010-01-31,,,,,,,,,
2010-02-28,-0.016967800131430177,-0.016967800131430177,-0.016967800131430177,-0.016967800131430177,-0.32708293204125793,neutral,1.0,1.0,1.0
2010-03-31,0.051941953474350155,0.051941953474350155,0.051941953474350155,0.051941953474350155,-0.1899956157993158,neutral,1.0,1.0,1.0
2010-04-30,0.03677721577130644,0.03677721577130644,0.03677721577130644,0.03677721577130644,0.32980956988402144,neutral,1.0,1.0,1.0
2010-05-31,0.005905524854428412,0.005905524854428412,0.06761097753754797,0.06761097753754797,1.5991965301213051,extreme_risk_off,0.5,0.25,0.7
2010-06-30,-0.02343631816776548,-0.013266844424027147,-0.023342547230385535,-0.016236570046439747,0.047596212822113515,neutral,1.0,1.0,1.0
2010-07-31,-0.01161605661210452,-0.01163846704043947,-0.01161605661210452,-0.01145882544526744,-0.8472670189945938,risk_on,1.0,1.0,1.0
2010-08-31,-0.02334916637278639,-0.02334916637278639,-0.01719925097294972,-0.01719925097294972,0.6004118734448466,risk_off,0.75,0.5,0.9
2010-09-30,0.028463656918988223,0.021436365181031203,0.02815646594440846,0.025357305601620528,-0.7133859609349799,risk_on,1.0,1.0,1.0
2010-10-31,-0.01738615428214474,-0.017722417356073494,-0.01738615428214474,-0.017520319760371383,-0.10725771655719202,neutral,1.0,1.0,1.0
2010-11-30,0.03619348064621697,0.03619348064621697,0.03619348064621697,0.03619348064621697,0.2806073192553298,neutral,1.0,1.0,1.0
2010-12-31,-0.010421027577067754,-0.010421027577067754,-0.010421027577067754,-0.010421027577067754,-0.6557030568714521,risk_on,1.0,1.0,1.0
2011-01-31,-0.037789669734145326,-0.037789669734145326,-0.037789669734145326,-0.037789669734145326,-0.24565368801556506,neutral,1.0,1.0,1.0
2011-02-28,0.03867626414048719,0.03867626414048719,0.03867626414048719,0.03867626414048719,-0.27673870190902666,neutral,1.0,1.0,1.0
2011-03-31,0.05469281115323321,0.05469281115323321,0.05469281115323321,0.05469281115323321,-0.19895862735635675,neutral,1.0,1.0,1.0
2011-04-30,-0.018900380265611028,-0.018900380265611028,-0.018900380265611028,-0.018900380265611028,-0.4614030787131531,neutral,1.0,1.0,1.0
2011-05-31,-0.03306079827697006,-0.03306079827697006,-0.03306079827697006,-0.03306079827697006,0.3213442621195432,neutral,1.0,1.0,1.0
2011-06-30,-0.0092385976411814,-0.0092385976411814,-0.0092385976411814,-0.0092385976411814,0.29313353097467965,neutral,1.0,1.0,1.0
2011-07-31,-0.05299351551723741,-0.05299351551723741,-0.05299351551723741,-0.05299351551723741,0.2820055064906004,neutral,1.0,1.0,1.0
2011-08-31,-0.0361031811696958,-0.0361031811696958,-0.019750294398272805,-0.019750294398272805,0.5419712066645989,risk_off,0.75,0.5,0.9
2011-09-30,-0.024350352522819696,-0.018769744608668648,-0.011139148742506544,-0.010155666681361142,1.381386645450938,extreme_risk_off,0.5,0.25,0.7
2011-10-31,0.028680358312818566,0.01355790764601994,0.029139698569452532,0.020350691644957175,-0.9318158913268839,risk_on,1.0,1.0,1.0
2011-11-30,-0.035230689493446876,-0.03488768259639996,-0.035230689493446876,-0.03499803298954529,0.13752388762184437,neutral,1.0,1.0,1.0
2011-12-31,-0.0036377105214253636,-0.0036377105214253636,-0.0036377105214253636,-0.0036377105214253636,-0.0436612692033376,neutral,1.0,1.0,1.0
2012-01-31,0.04742757839669287,0.04742757839669287,0.04742757839669287,0.04742757839669287,-0.6952568058201731,risk_on,1.0,1.0,1.0
2012-02-29,0.05262920011669214,0.05262920011669214,0.05262920011669214,0.05262920011669214,-0.28462146831721846,neutral,1.0,1.0,1.0
2012-03-31,-0.04907564969517453,-0.04907564969517453,-0.04907564969517453,-0.04907564969517453,-7.63794706158949e-05,neutral,1.0,1.0,1.0
2012-04-30,-0.035221661436624974,-0.035221661436624974,-0.035221661436624974,-0.035221661436624974,-0.12092105375978716,neutral,1.0,1.0,1.0
2012-05-31,-0.050730692568982105,-0.050730692568982105,0.00954000293423074,0.00954000293423074,1.3742339949048539,extreme_risk_off,0.5,0.25,0.7
2012-06-30,0.030791666123621608,0.01383929516873672,0.030033137671348298,0.02111164378731445,-0.5647789610438847,risk_on,1.0,1.0,1.0
2012-07-31,0.0036949927557961004,-0.0005623951406751315,0.0036949927557961004,0.0012923746438295858,-0.06734644189230117,neutral,1.0,1.0,1.0
2012-08-31,-0.01335891144486634,-0.01335891144486634,-0.01335891144486634,-0.01335891144486634,-0.304253553913859,neutral,1.0,1.0,1.0
2012-09-30,0.01442204883135112,0.01442204883135112,0.01442204883135112,0.01442204883135112,-0.43565940272970044,neutral,1.0,1.0,1.0
2012-10-31,-0.014873467041857213,-0.014873467041857213,-0.014873467041857213,-0.014873467041857213,0.35965517018513715,neutral,1.0,1.0,1.0
2012-11-30,0.01946973596172441,0.01946973596172441,0.01946973596172441,0.01946973596172441,-0.35167601582667496,neutral,1.0,1.0,1.0
2012-12-31,0.07922211170402149,0.07922211170402149,0.07922211170402149,0.07922211170402149,0.19475920697267135,neutral,1.0,1.0,1.0
2013-01-31,0.048409531019222074,0.048409531019222074,0.048409531019222074,0.048409531019222074,-0.18803206296776911,neutral,1.0,1.0,1.0
2013-02-28,-0.009878271774097391,-0.009878271774097391,-0.009878271774097391,-0.009878271774097391,0.29254404637632136,neutral,1.0,1.0,1.0
2013-03-31,0.001312812604310043,0.001312812604310043,0.001312812604310043,0.001312812604310043,-0.08296345855329071,neutral,1.0,1.0,1.0
2013-04-30,0.028711533623957397,0.028711533623957397,0.028711533623957397,0.028711533623957397,-0.027983602386512735,neutral,1.0,1.0,1.0
2013-05-31,-0.02983614748056518,-0.02983614748056518,0.004799623879436998,0.004799623879436998,0.8125800057897989,risk_off,0.75,0.5,0.9
2013-06-30,-0.05077294354854789,-0.03867899316318879,-0.04975921934944394,-0.04487188590652047,0.4039699638880352,neutral,1.0,1.0,1.0
2013-07-31,-0.01875144117345684,-0.01797051167105057,-0.01875144117345684,-0.018428482723113926,-0.645178697768357,risk_on,1.0,1.0,1.0
2013-08-31,-0.039090866409262626,-0.039090866409262626,-0.039090866409262626,-0.039090866409262626,0.36532675197041203,neutral,1.0,1.0,1.0
2013-09-30,0.003605377869486448,0.003605377869486448,0.003605377869486448,0.003605377869486448,-0.4286438887235961,neutral,1.0,1.0,1.0
2013-10-31,0.010623923929014234,0.010623923929014234,0.010623923929014234,0.010623923929014234,-0.4473977003149968,neutral,1.0,1.0,1.0
2013-11-30,-0.03246853016108009,-0.03246853016108009,-0.03246853016108009,-0.03246853016108009,0.18076918838092418,neutral,1.0,1.0,1.0
2013-12-31,-0.02068820294479934,-0.02068820294479934,-0.02068820294479934,-0.02068820294479934,-0.02363641609126496,neutral,1.0,1.0,1.0
2014-01-31,0.00018930009743556298,0.00018930009743556298,0.00018930009743556298,0.00018930009743556298,0.3982476603194516,neutral,1.0,1.0,1.0
2014-02-28,-0.0015810186142832805,-0.0015810186142832805,-0.0015810186142832805,-0.0015810186142832805,-0.6604880099439963,risk_on,1.0,1.0,1.0
2014-03-31,0.048176705969426914,0.048176705969426914,0.048176705969426914,0.048176705969426914,0.10325886334792442,neutral,1.0,1.0,1.0
2014-04-30,-0.008502017260470063,-0.008502017260470063,-0.008502017260470063,-0.008502017260470063,-0.21873706903287027,neutral,1.0,1.0,1.0
2014-05-31,0.034271494473736785,0.034271494473736785,0.034271494473736785,0.034271494473736785,-0.19191174513273854,neutral,1.0,1.0,1.0
2014-06-30,-0.03063022671386717,-0.03063022671386717,-0.03063022671386717,-0.03063022671386717,-0.270003607225986,neutral,1.0,1.0,1.0
2014-07-31,0.03187638696436834,0.03187638696436834,0.03006870056601052,0.03006870056601052,0.6918424530250193,risk_off,0.75,0.5,0.9
2014-08-31,0.04323586622408704,0.03159323195914654,0.04227177032931917,0.038102470826345325,-0.09021541707661218,neutral,1.0,1.0,1.0
2014-09-30,-0.01712888891227282,-0.017139469805597662,0.018876363206747238,0.018908459246054443,0.9934927824726367,risk_off,0.75,0.5,0.9
