,global_risk__BCOM Index__PX_LAST_change,global_risk__CL1 Comdty__PX_LAST_change,global_risk__CO1 Comdty__PX_LAST_change,global_risk__DXY Curncy__PX_LAST_change,global_risk__HG1 Comdty__PX_LAST_change,global_risk__JPMVXYEM Index__PX_LAST_change,global_risk__JPMVXYG7 Index__PX_LAST_change,global_risk__JPMVXYGL Index__PX_LAST_change,global_risk__MOVE Index__PX_LAST_change,global_risk__MXEF Index__PX_LAST_change,global_risk__MXWO Index__PX_LAST_change,global_risk__NDX Index__PX_LAST_change,global_risk__RTY Index__PX_LAST_change,global_risk__SPX Index__PX_LAST_change,global_risk__USGG10YR Index__PX_LAST_change,global_risk__USGG2YR Index__PX_LAST_change,global_risk__USYC2Y10 Index__PX_LAST_change,global_risk__VIX Index__PX_LAST_change,global_risk__XAU Curncy__PX_LAST_change,em_risk__JPEIGLSP Index__PX_LAST_change,macro_market_proxies__BCOM Index__PX_LAST_change,macro_market_proxies__BFCIUS Index__PX_LAST_change,macro_market_proxies__CL1 Comdty__PX_LAST_change,macro_market_proxies__CO1 Comdty__PX_LAST_change,macro_market_proxies__FEDL01 Index__PX_LAST_change,macro_market_proxies__GACGB10 Index__PX_LAST_change,macro_market_proxies__GACGB2 Index__PX_LAST_change,macro_market_proxies__GCAN10YR Index__PX_LAST_change,macro_market_proxies__GCAN2YR Index__PX_LAST_change,macro_market_proxies__GDBR10 Index__PX_LAST_change,macro_market_proxies__GDBR2 Index__PX_LAST_change,macro_market_proxies__GJGB10 Index__PX_LAST_change,macro_market_proxies__GJGB2 Index__PX_LAST_change,macro_market_proxies__GUKG10 Index__PX_LAST_change,macro_market_proxies__GUKG2 Index__PX_LAST_change,macro_market_proxies__HG1 Comdty__PX_LAST_change,macro_market_proxies__USGG10YR Index__PX_LAST_change,macro_market_proxies__USGG2YR Index__PX_LAST_change,macro_market_proxies__XAU Curncy__PX_LAST_change,g10_interest_rates__ADBB12M Curncy__PX_LAST_change,g10_interest_rates__ADBB1M Curncy__PX_LAST_change,g10_interest_rates__ADBB3M Curncy__PX_LAST_change,g10_interest_rates__ADDR1Z Curncy__PX_LAST_change,g10_interest_rates__ADSO1Z Curncy__PX_LAST_change,g10_interest_rates__ADSOA Curncy__PX_LAST_change,g10_interest_rates__ADSOC Curncy__PX_LAST_change,g10_interest_rates__ADSOF Curncy__PX_LAST_change,g10_interest_rates__BP0003M Index__PX_LAST_change,g10_interest_rates__BPSWS1Z Curncy__PX_LAST_change,g10_interest_rates__BPSWSA Curncy__PX_LAST_change,g10_interest_rates__BPSWSC Curncy__PX_LAST_change,g10_interest_rates__BPSWSF Curncy__PX_LAST_change,g10_interest_rates__CDOR01 Index__PX_LAST_change,g10_interest_rates__CDOR03 Index__PX_LAST_change,g10_interest_rates__CDSO1Z Curncy__PX_LAST_change,g10_interest_rates__CDSOA Curncy__PX_LAST_change,g10_interest_rates__CDSOC Curncy__PX_LAST_change,g10_interest_rates__CDSOF Curncy__PX_LAST_change,g10_interest_rates__EESWEA Curncy__PX_LAST_change,g10_interest_rates__EESWEC Curncy__PX_LAST_change,g10_interest_rates__EESWEF Curncy__PX_LAST_change,g10_interest_rates__EUR001M Index__PX_LAST_change,g10_interest_rates__EUR001W Index__PX_LAST_change,g10_interest_rates__EUR003M Index__PX_LAST_change,g10_interest_rates__EUR012M Index__PX_LAST_change,g10_interest_rates__HDDRA Curncy__PX_LAST_change,g10_interest_rates__HDDRC Curncy__PX_LAST_change,g10_interest_rates__HDDRF Curncy__PX_LAST_change,g10_interest_rates__JYSO1Z Curncy__PX_LAST_change,g10_interest_rates__JYSOA Curncy__PX_LAST_change,g10_interest_rates__JYSOC Curncy__PX_LAST_change,g10_interest_rates__JYSOF Curncy__PX_LAST_change,g10_interest_rates__NDBB12M Curncy__PX_LAST_change,g10_interest_rates__NDBB1M Curncy__PX_LAST_change,g10_interest_rates__NDBB3M Curncy__PX_LAST_change,g10_interest_rates__NDSO1Z Curncy__PX_LAST_change,g10_interest_rates__NDSOA Curncy__PX_LAST_change,g10_interest_rates__NDSOC Curncy__PX_LAST_change,g10_interest_rates__NDSOF Curncy__PX_LAST_change,g10_interest_rates__NIBOR1M Index__PX_LAST_change,carry_volatility_3m,carry_momentum_3m,carry_momentum_12m,carry_drawdown,carry_dispersion
2012-01-31,-0.15277715897295083,0.11370896885233846,0.24696742788195647,0.5643914048164969,0.07911454769884045,-0.45784192929424594,-0.22753346354632764,-0.32172976119175195,-0.18624833185304485,0.19125189398606046,-0.06426103624493804,-0.41789509361428767,-0.15690502164922737,-0.14446206692278155,-0.40339478259411293,0.1973614667876351,0.10250839515873507,-0.1620409511776885,-0.1789103283698091,0.22940970612690229,-0.15277715897295083,0.24088256108244321,0.11370896885233846,0.24696742788195647,0.19485565587056988,0.2699500813701812,0.8995470098052099,0.1026543238683726,-0.20712505664794212,-0.8855400867731692,-0.24205758102303063,0.38377527458424615,0.08596437242522136,-0.1479569239228952,-0.20041139800406316,0.07911454769884045,-0.40339478259411293,0.1973614667876351,-0.1789103283698091,-0.43380859658451376,-0.11527618341977611,0.09400060783008612,-0.2818672542919819,-0.06603025856724622,0.2693513456767595,0.4167731342176079,0.4223036837212887,-0.0796090979611559,0.3081138993114078,0.21997034394774193,0.4080802986660762,0.2002601109669837,0.14844146174408923,0.17435110227239942,-0.4216984949460574,0.10478318467658802,-0.3048068849127517,-0.017898304844091353,0.1758916095671233,-0.11038256128540169,-0.13684335290567626,-0.24726179755628305,-0.355303138938162,-0.08698186129416072,0.2266180745397623,0.30831831258639075,0.3519087116656432,0.1141629596151264,0.08426817384774715,-0.2475446584326065,-0.08147349420187178,-0.3070007572631924,-0.7176761738423088,-0.18367202481372644,-0.2107722205845024,-0.07818666032447077,-0.0669853020295896,0.06562807777027407,0.05790898803356312,-0.7272009492100854,-0.15256432089841296,0.4347224210302895,-0.1886208248978231,-0.9608098332504711,-0.2834639157015719
2012-02-29,-0.16127750051610473,0.10250867495707262,0.2466645933573565,0.5724944823559859,0.08443710535865225,-0.48176713024983264,-0.236506071265736,-0.3318603408109976,-0.1838324895603175,0.2102487502346094,-0.06529032970575932,-0.39636611127100235,-0.15490280413558682,-0.14561240199190564,-0.4177177166289456,0.21111640839556814,0.09701347368634253,-0.18978824147389864,-0.14678661591770864,0.2416962615550849,-0.16127750051610473,0.2408985365316908,0.10250867495707262,0.2466645933573565,0.2801768263811671,0.2848654755032518,0.8765223962845133,0.09612360031881463,-0.2137259163763387,-0.8869270467185141,-0.19311800052909495,0.3687675598055773,0.06250555052462875,-0.14934195895054903,-0.1808181122226818,0.08443710535865225,-0.4177177166289456,0.21111640839556814,-0.14678661591770864,-0.4342530817857632,-0.13265753495473212,0.08530687260720403,-0.2524776776924323,-0.06343991393030654,0.25300286796409993,0.4080181765373711,0.4326725472766353,-0.03727131555696782,0.3269122664613234,0.2143374671305684,0.4056909806096041,0.1916122050726955,0.14404961527700993,0.169767891365766,-0.4290461580357403,0.09755670818335825,-0.30928640402162405,-0.02495072021617894,0.18530558960085874,-0.11542854263613726,-0.1435508541460145,-0.28167542069667967,-0.38560647330789455,-0.10783946955860092,0.21922778072561816,0.2981101345594179,0.370809006506317,0.14519005566643495,0.0689361144624976,-0.24605168882441267,-0.08127551233421747,-0.2819264419778999,-0.7059648628342079,-0.1483758630764466,-0.20215509940113843,-0.08296850993158328,-0.06402158349070435,0.07166262521280688,0.06152655104486975,-0.7531847089126249,-0.15652254416273256,0.4528818398836293,-0.18363971974873153,-0.9764028489534465,-0.29975366811826565
2012-03-31,-0.1549667510586723,0.071972110332406,0.1967677156169256,0.6539710687773127,0.22394641400307128,-0.44808680163810993,-0.291067130210364,-0.38398396580096816,-0.25261239256205414,0.25073485758826747,-0.08523330430240693,-0.3774424336475843,-0.07686899054213321,-0.1636524946977623,-0.42246784304261353,0.08592837748121543,0.09120490520337488,-0.20753610437872091,-0.10475053823831888,0.2867516217640259,-0.1549667510586723,0.25478973669327903,0.071972110332406,0.1967677156169256,0.27733971541993496,0.26557284870375514,0.8053999513166271,0.11099532336911695,-0.18917238707533102,-0.8532611211734868,-0.3040239742351201,0.49568379392178846,0.16648537899534985,-0.23122994205763261,-0.25029716171470673,0.22394641400307128,-0.42246784304261353,0.08592837748121543,-0.10475053823831888,-0.5951141096279202,-0.10690433549933838,0.09493479104248538,-0.25767258822089745,-0.03011600974975692,0.24381179931980035,0.3874445566249926,0.418097018659614,-0.14634002933429294,0.4025236646878465,0.21350613201231897,0.39973650670532995,0.17684360221513287,0.1373650458087727,0.20244408043023565,-0.47549035784178056,0.10804502057908197,-0.2706795397879477,0.04622490035406515,0.21375383088901345,-0.11361375578569047,-0.1392013529897589,-0.1637448333127205,-0.43414750986082035,-0.0006148683965801079,0.364918518457822,0.3107139617607819,0.3884525064489149,0.17634692625103643,0.09787424052518379,-0.3088697141926834,-0.16221191889986664,-0.30486875085337245,-0.7607636264955353,-0.20493392810290673,-0.2795421091339585,-0.0829685095685025,-0.08427935475136533,0.06520470681481118,0.039611786725939686,-0.7755670662415478,-0.22929864597665764,0.3270078815066403,-0.2413750218780213,-0.7952235375048163,-0.27752053716334596
2012-04-30,-0.15606800310305738,0.0787296943248762,0.20148935622094258,0.6792852684472316,0.2285728528237826,-0.4416799778899272,-0.30761421264536626,-0.3943990107004495,-0.26274056427877274,0.3045953194374162,-0.06533982345587787,-0.3656924239384629,-0.0617116651120835,-0.17105084453416927,-0.4817986722138657,0.08851051585133447,0.08439536248366367,-0.15484455814410464,-0.08697589201247354,0.2635583930990735,-0.15606800310305738,0.2453565056406764,0.0787296943248762,0.20148935622094258,0.3049073884487979,0.2792545202853385,0.8717982336705274,0.06684259762114128,-0.1794274295209472,-0.8202180549028477,-0.32449884122988415,0.4912055028413974,0.12237194989697486,-0.19635288338945978,-0.22054831424579519,0.2285728528237826,-0.4817986722138657,0.08851051585133447,-0.08697589201247354,-0.5918395433043867,-0.12630926849600846,0.11230391423791618,-0.256124176890402,-0.03559970295673788,0.2432200446450662,0.4117542300025999,0.4594488722755036,-0.1821859720905229,0.4193372256176532,0.2250558912191665,0.3855985494135501,0.16784346934285801,0.13071800173360623,0.19089590081792643,-0.476307498489903,0.11823653720897634,-0.2775774032176833,0.0494038995030951,0.20054500885899662,-0.14981427237116318,-0.18210679430345922,-0.1026276370229959,-0.45450267905444575,0.0864060914959591,0.37984007570474143,0.3498849873352746,0.3939996168741725,0.14941548688928813,0.08119889424713306,-0.30282797219879615,-0.17290351750075764,-0.3037317700327617,-0.7819189931098424,-0.20473515236227158,-0.2986261685193121,-0.08701091977438423,-0.1061670914120482,0.042427118351929596,0.012556693001903324,-0.7190130268130762,-0.22346883374033075,0.28481247388449515,-0.23142189077979786,-0.7465307239542883,-0.30517088399682063
2012-05-31,-0.21415032331783293,0.028701841130758254,0.23171322389169627,0.7526749858495361,0.24546448639957263,-0.40353944466310204,-0.21450730421045788,-0.32204156139571316,-0.1743777161074912,0.30787999437387276,-0.06594007139819076,-0.37344832514200893,-0.06525325671341854,-0.1767527227969517,-0.37722049860812645,0.11822745582123242,0.08935788064423501,-0.20006789536145259,0.041748860676351154,0.2565089643453513,-0.21415032331783293,0.24649404560877886,0.028701841130758254,0.23171322389169627,0.2498561971544576,0.3129698724172179,0.9377606868134838,-0.010109761281492756,-0.3792824980458873,-0.749037230099728,-0.007966021774610366,0.5774080775256099,0.10081298255913464,-0.24379485447005012,-0.38464383821498227,0.24546448639957263,-0.37722049860812645,0.11822745582123242,0.041748860676351154,-0.5554849950738451,-0.07878790666605547,0.10870429069520053,-0.24028143246642825,0.017823308088124306,0.26102013445869776,0.48492444905365806,0.49142995548398805,-0.2211312603730906,0.42653646638577913,0.2522158431326607,0.37487739608855847,0.13325757167480798,0.13139043400074732,0.20938585454145653,-0.5126129777500101,0.14038728673813625,-0.25370795971827753,0.04074362326287814,0.14512099376872548,-0.19691844474432055,-0.16750646556082469,-0.15260970549601813,-0.5603695602837323,0.11780588322154555,0.4109631547847067,0.303412459111719,0.4175038615921988,0.19311655088414598,0.12420550518985488,-0.2629492448972678,-0.10248929829470997,-0.3029647387664659,-0.7767288215007336,-0.25798978459335326,-0.2748507697295804,-0.10611180965506768,-0.12547341163703168,0.04627608313287126,0.016929208168976716,-0.8128547227071775,-0.17247524135923317,0.18628237523113822,-0.10924869819866319,-0.690359874063319,-0.27599118521082155
2012-06-30,-0.1851522887305639,0.019896041146101485,0.23624904497706742,0.7508761425608964,0.260325845212289,-0.3110117280739014,-0.16090777566548106,-0.263274677070402,-0.1392974253108271,0.35835162579162644,-0.05629845831935894,-0.38133568672772006,-0.027178381320262027,-0.16353184647488786,-0.3838659506897407,0.20025913645338259,0.08389152945610352,-0.16767796305764052,-0.025128101661204733,0.26479314236234025,-0.1851522887305639,0.28113944145961817,0.019896041146101485,0.23624904497706742,0.2628578497137034,0.2954563654319324,0.947831078628346,-0.0406058901024758,-0.4196511314154758,-0.8185597577022017,-0.10543218843724218,0.5759007555282755,0.11823254345342635,-0.3482783631232574,-0.45267960619705033,0.260325845212289,-0.3838659506897407,0.20025913645338259,-0.025128101661204733,-0.6063125037553291,-0.14678581247302558,0.08624686107199048,-0.19905618617109827,0.00861672433464165,0.24384567851709638,0.4476251810369342,0.48171708668993124,-0.2426887260435759,0.44309498610698467,0.2456454627948407,0.37723662666083213,0.129686319674642,0.14679062470167578,0.24868391224582373,-0.4970951508863281,0.12232685220657219,-0.2653737459282627,0.03707815397478982,0.19074657846318405,-0.14957120732247053,-0.0957488709272493,-0.1948065710952601,-0.5667433620977648,0.08715402607517853,0.4126746643224367,0.31385076863917305,0.41115202662377315,0.17488371899389973,0.18782679391477416,-0.2060810734939004,-0.039851922279393,-0.3092506605025245,-0.7600727019955162,-0.2547389523712593,-0.34967384921240263,-0.0628090514677592,-0.13156221106271815,0.033641293838000345,0.012378258590943787,-0.8218276787199501,-0.23442320153986626,0.138477361535667,-0.12895800310960703,-0.7127078654812069,-0.30427090787387995
2012-07-31,-0.18669521310760767,0.018243458203511514,0.23138287885424783,0.772854760846973,0.26996459482709756,-0.2972380468043571,-0.16406171017817642,-0.26217903488624766,-0.13018327635555568,0.3641652577550587,-0.06171216447417163,-0.38477584249038105,-0.028847162356844293,-0.16557333384654646,-0.40742165396193813,0.19839011219047456,0.0898353627961086,-0.15069365632951331,-0.03584439198294154,0.25889241208304786,-0.18669521310760767,0.27321662757430587,0.018243458203511514,0.23138287885424783,0.2727902141396597,0.2877750189030937,0.9493385080502864,-0.040818488040060455,-0.41667616413128866,-0.8192270444094726,-0.033773628273915966,0.5684069144350956,0.12416943958611985,-0.3821125261842601,-0.46674857632737593,0.26996459482709756,-0.40742165396193813,0.19839011219047456,-0.03584439198294154,-0.6130283748943309,-0.1632376515388483,0.07745770882099777,-0.18610169884071884,0.004716163051453474,0.24589150245499752,0.4326469538148771,0.46548406572028717,-0.23622655778695434,0.44191509522067907,0.2460004327576605,0.3828431078589459,0.13615636528966263,0.14871899887066234,0.2565979439575887,-0.5048586109789291,0.12048130399510176,-0.2660938165933067,0.052625504046069256,0.181977085669751,-0.15852582460368356,-0.11486043142178609,-0.18819732286602944,-0.556872291081603,0.08381197692035007,0.40488398387129126,0.3121504697503847,0.40559854522586775,0.15244594705047643,0.19483829258017465,-0.20357204797028383,-0.03988352860758547,-0.3067933619931048,-0.7552233607670288,-0.2585933934311662,-0.3572477404125261,-0.05041671280277101,-0.13331622689572115,0.03183361560097474,0.009660993990438186,-0.8279821622763106,-0.24426333567223654,0.13171512755049491,-0.13432569439441303,-0.7312404076379956,-0.29296541805169646
2012-08-31,-0.18434882330331887,0.01753959845233898,0.23245325244530418,0.7901324510884419,0.27655611046477296,-0.2961614633031546,-0.1602638686582317,-0.26005751503953006,-0.12502850102420363,0.3677691172906128,-0.05932793131537848,-0.38062697583358857,-0.021035672265982575,-0.16052811282265306,-0.41748871791595016,0.19785180703862604,0.08941327226106982,-0.14858890557474483,-0.03759621627985038,0.26067515919515244,-0.18434882330331887,0.2704639927960836,0.01753959845233898,0.23245325244530418,0.2788436762958338,0.2802061708749762,0.9537793727787865,-0.04914998356595017,-0.42586286729541173,-0.8214412891391494,-0.03687305020768676,0.5721852567959042,0.11382626056877179,-0.39318176217239514,-0.4735567192541913,0.27655611046477296,-0.41748871791595016,0.19785180703862604,-0.03759621627985038,-0.6062377489794466,-0.16706843877322602,0.07508704459596571,-0.1913429223134105,0.011030446741147613,0.24334587266837507,0.43371046469378904,0.46756820809085625,-0.23857709521322748,0.4499831856616519,0.24941527699082713,0.38259789430532715,0.1251705086636278,0.1541678297357518,0.25806019024103005,-0.5032650036246651,0.12618397684169275,-0.27250892656422965,0.04309025505116995,0.13636502505399978,-0.15475424878019614,-0.12002991225423665,-0.18722432296626934,-0.5427762330021934,0.07117258469720475,0.3932252182869812,0.30286274770858557,0.40418455064669395,0.1611808514936199,0.20062450388453518,-0.1998471856490505,-0.03295808483065618,-0.3107031908972038,-0.76108910245642,-0.2574497994508336,-0.35829853587020855,-0.055123133766093874,-0.1314099574995599,0.03569720980686574,0.00981045214778453,-0.8322053626224597,-0.23547299141702635,0.13063817715727452,-0.12870569330560797,-0.7378071809003452,-0.2938187157088808
2012-09-30,-0.18750915291271977,0.025237436705011006,0.24208349568754034,0.7611306610157411,0.2686644933852142,-0.2984500368183248,-0.1689744695507949,-0.266025783740766,-0.12096868072189883,0.35776090632826374,-0.05918038859362333,-0.37146132742623655,-0.022810083265716694,-0.16939662657956703,-0.4111519907084012,0.19544107337607686,0.09139655719440834,-0.14611786154627482,-0.032129372029965755,0.2661219145821979,-0.18750915291271977,0.2735406363195291,0.025237436705011006,0.24208349568754034,0.2734363512035854,0.2753668905426018,0.9469884958758893,-0.028723134541036973,-0.4469505001738248,-0.8125831976742052,-0.038303874758582726,0.5748540584281672,0.11290484792505122,-0.4095059655170924,-0.5001058743093758,0.2686644933852142,-0.4111519907084012,0.19544107337607686,-0.032129372029965755,-0.5965524330787462,-0.1632938853983104,0.08508210995393063,-0.1966815514700887,0.00816463101998731,0.24618889875564065,0.4337896632247391,0.469189201246408,-0.2363822556852591,0.4552604534748092,0.25700498965520896,0.39860775686904604,0.14844986163528323,0.1653716800976164,0.2639648832569042,-0.5017015704897376,0.13318400013631537,-0.26707142204442047,0.03936990189992146,0.3668128797562859,-0.1583168474436325,-0.12059423627731222,-0.16552089937593728,-0.5161004834789507,0.0363456869699717,0.36833760866271226,0.3001713424629879,0.41322260942858613,0.1776561044587549,0.19694574479771085,-0.19504529651831481,-0.029176922365893653,-0.3071678520761693,-0.7724238931570678,-0.25257383922874554,-0.3637947707752656,-0.058430077319363546,-0.138941781719508,0.03158032516664192,0.005447696090576603,-0.8255595092338454,-0.2397262465726091,0.13540549035848268,-0.12022467538058197,-0.7598292243051105,-0.29180792130719785
2012-10-31,-0.18811900469533566,0.03178633359851033,0.23834746846118907,0.7712834502753655,0.2741454950489199,-0.28528048265000544,-0.15173855132690092,-0.25331601687393523,-0.11317906166443042,0.35412582885144894,-0.04943959139745745,-0.36570814882230834,-0.005463807148724516,-0.1525132867479939,-0.42033222384017466,0.17824053425561623,0.08904932074790166,-0.15765790881425887,-0.039010713900265434,0.26189626756681816,-0.18811900469533566,0.252707501174246,0.03178633359851033,0.23834746846118907,0.26346071704024077,0.25416720381741437,0.9630696099396158,-0.03586858517720675,-0.46083720757421537,-0.8302631337972867,-0.04012835879067356,0.5640128959549884,0.08817270337520872,-0.42884988374482047,-0.47438492673682314,0.2741454950489199,-0.42033222384017466,0.17824053425561623,-0.039010713900265434,-0.6051991811277502,-0.17150736991612134,0.08241750555646618,-0.20490759880597742,0.01974462153951266,0.24094743292229295,0.43017060856042855,0.463780602702696,-0.24812670109663978,0.4613669674041023,0.2624013258317137,0.394247980378614,0.12138871687181266,0.16111705940545334,0.2624641644015088,-0.502289050007656,0.12408355527502501,-0.2757634526409685,0.02356933595105423,0.38399852641983606,-0.1382987836635455,-0.12545316695887837,-0.17278064223723077,-0.5136458155193416,0.04143284210467332,0.3771953990861503,0.2832316439773962,0.4152948062772565,0.18826895787297207,0.20783659384349107,-0.18850244414292858,-0.015858711143099228,-0.3220283836205349,-0.775522734967256,-0.2645004588411317,-0.36378063952862916,-0.05269961062356097,-0.1375158550627638,0.03793891723508467,0.009146373002105534,-0.816609887841816,-0.22576432320170758,0.11605523553883826,-0.10067399996194201,-0.7680283596405256,-0.2813212821852962
